analysis_scope,model,endpoint,condition,language_vs_java,interaction_effect,cluster_robust_se,z,p,n_rows,n_pairs,covariance,holm_p_within_model,holm_reject_0_05
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_1,python,0.006000000000000148,0.018280114441655726,0.3282255162652415,0.7427411563756035,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_1,cuda,0.0020000000000000746,0.0192828663325769,0.10371902006193086,0.9173923322361867,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_2,python,0.014999999999999942,0.022456920136113057,0.6679455557166268,0.5041683464218654,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_2,cuda,-0.015000000000000216,0.026180679517533285,-0.5729415842684552,0.5666842471588052,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_4,python,0.13200000000000006,0.042981740774426194,3.071071520642995,0.0021329205345596456,6000,3000,two-way clustered by snippet_i and snippet_j,0.01919628481103681,True
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,gaussian_sigma_4,cuda,0.2129999999999999,0.03558412525270151,5.985815261366561,2.1530863982193905e-09,6000,3000,two-way clustered by snippet_i and snippet_j,2.1530863982193904e-08,True
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,no_blank_lines,python,0.02799999999999994,0.02175605331856284,1.2869981328878983,0.19809493892048513,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,no_blank_lines,cuda,0.0009999999999999686,0.019807153758178632,0.05048680957439711,0.9597344604352884,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,no_indent,python,0.016999999999999935,0.025506414291309665,0.6664990149474689,0.5050921930940451,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,effective_accuracy,no_indent,cuda,-0.005999999999999917,0.019443529052101817,-0.30858595597136856,0.7576365053286849,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_1,python,0.004562872055759982,0.0269624300200623,0.16923074264318252,0.8656151493889754,2876,1727,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_1,cuda,0.035881435880716815,0.027951097554531963,1.283721893593371,0.1992392811103595,2876,1727,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_2,python,0.011158292199632993,0.02636498569154506,0.42322390499955115,0.672131907219744,3129,1988,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_2,cuda,-0.026065349751936546,0.03560712180707376,-0.7320263034222094,0.46415251332361485,3129,1988,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_4,python,0.09936796399002251,0.060664710781517736,1.637986280819725,0.10142455570272672,3256,2415,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,gaussian_sigma_4,cuda,0.04600089929857243,0.044267803563508394,1.0391502535827797,0.29873486220468115,3256,2415,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,no_blank_lines,python,0.028655504930455072,0.02664471420978985,1.0754667775692042,0.28216579857931157,2944,1791,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,no_blank_lines,cuda,-0.02035302395593797,0.0316435747802329,-0.6431961021247223,0.5200968622251844,2944,1791,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,no_indent,python,0.03695567884844582,0.027309995194117902,1.3531924332379754,0.17599416197804651,2978,1831,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,OpenGVLab/InternVL3-8B,valid_accuracy,no_indent,cuda,-0.01940821628023696,0.028942241769217635,-0.6705844155057518,0.502485313287844,2978,1831,two-way clustered by snippet_i and snippet_j,1.0,False
