experiment,model,language,n_pairs,n_conditions,q_statistic,df,p
grid,OpenGVLab/InternVL3-8B,cuda,1000,12,89.44569700302448,11,2.1406770803335065e-14
grid,OpenGVLab/InternVL3-8B,java,1000,12,81.40124036835181,11,7.902664611188305e-13
grid,OpenGVLab/InternVL3-8B,python,1000,12,86.28203950390446,11,8.888886345702554e-14
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,1000,12,180.33942462032348,11,8.723309826114937e-33
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,1000,12,230.1551188208162,11,3.937484403170645e-43
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,1000,12,122.27278603749193,11,6.3228306548082836e-21
perturbation,OpenGVLab/InternVL3-8B,cuda,1000,6,362.8115015974441,5,3.050773170853568e-76
perturbation,OpenGVLab/InternVL3-8B,java,1000,6,33.513737173121484,5,2.9751245195535447e-06
perturbation,OpenGVLab/InternVL3-8B,python,1000,6,131.91305664950016,5,9.344004602623758e-27
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,1000,6,119.85884101040119,5,3.3622606367410884e-24
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,1000,6,157.5291243893273,5,3.3272814607779963e-32
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,1000,6,21.061337008959338,5,0.0007887266315892483
