experiment,model,language,condition,abs_c_decile,n,abs_c_min,abs_c_median,abs_c_max,debiased_accuracy,strict_valid_rate,strict_valid_only_accuracy
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.0625,0.33,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,2,100,0.0625,0.125,0.1875,0.52,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,3,100,0.1875,0.25,0.25,0.64,0.05,0.6
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,4,100,0.25,0.3125,0.4375,0.51,0.07,0.2857142857142857
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.57,0.06,0.8333333333333334
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,6,100,0.5625,0.625,0.6875,0.58,0.2,0.6
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,7,100,0.6875,0.8125,0.9375,0.6,0.27,0.48148148148148145
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,8,100,0.9375,1.0625,1.1875,0.71,0.33,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,9,100,1.1875,1.375,1.5,0.51,0.66,0.3787878787878788
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,10,100,1.5,1.8125,2.9375,0.52,0.86,0.47674418604651164
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.29,0.01,1.0
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,2,100,0.125,0.125,0.1875,0.56,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.58,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,4,100,0.3125,0.375,0.4375,0.59,0.1,0.9
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,5,100,0.4375,0.5,0.5625,0.61,0.2,0.45
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,6,100,0.5625,0.625,0.6875,0.67,0.21,0.5238095238095238
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,7,100,0.6875,0.75,0.875,0.49,0.52,0.40384615384615385
