model,language,contrast_type,n,strict_valid_rate,strict_target_effective,strict_target_valid_only,debiased_target_preference,debiased_tie_rate,median_abs_b,median_abs_c
OpenGVLab/InternVL3-8B,cuda,semantic_and_visual_aligned,200,0.885,0.885,1.0,0.98,0.0,0.8125,2.0625
OpenGVLab/InternVL3-8B,cuda,semantic_only_under_ugly,100,0.97,0.96,0.9896907216494846,0.99,0.0,0.65625,2.5
OpenGVLab/InternVL3-8B,cuda,semantic_visual_conflict_primary,100,0.66,0.66,1.0,0.96,0.02,0.8125,1.3125
OpenGVLab/InternVL3-8B,cuda,visual_only_gold,100,0.45,0.43,0.9555555555555556,0.87,0.04,0.375,0.375
OpenGVLab/InternVL3-8B,cuda,visual_only_trash,100,0.71,0.68,0.9577464788732394,0.91,0.01,0.3125,0.6875
OpenGVLab/InternVL3-8B,java,semantic_and_visual_aligned,200,0.985,0.985,1.0,1.0,0.0,0.5625,2.6875
OpenGVLab/InternVL3-8B,java,semantic_only_under_ugly,100,0.99,0.99,1.0,1.0,0.0,0.5,2.6875
OpenGVLab/InternVL3-8B,java,semantic_visual_conflict_primary,100,0.91,0.89,0.978021978021978,0.97,0.0,0.5,1.71875
OpenGVLab/InternVL3-8B,java,visual_only_gold,100,0.67,0.63,0.9402985074626866,0.81,0.0,0.375,0.5
OpenGVLab/InternVL3-8B,java,visual_only_trash,100,0.44,0.43,0.9772727272727273,0.92,0.01,0.90625,0.6875
OpenGVLab/InternVL3-8B,python,semantic_and_visual_aligned,200,0.99,0.99,1.0,1.0,0.0,0.6875,2.75
OpenGVLab/InternVL3-8B,python,semantic_only_under_ugly,100,0.98,0.98,1.0,1.0,0.0,0.625,3.0
OpenGVLab/InternVL3-8B,python,semantic_visual_conflict_primary,100,0.91,0.91,1.0,1.0,0.0,0.75,1.6875
OpenGVLab/InternVL3-8B,python,visual_only_gold,100,0.69,0.66,0.9565217391304348,0.89,0.02,0.375,0.5625
OpenGVLab/InternVL3-8B,python,visual_only_trash,100,0.75,0.7,0.9333333333333333,0.91,0.02,0.625,0.9375
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_and_visual_aligned,200,0.95,0.95,1.0,1.0,0.0,0.5,3.125
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_only_under_ugly,100,0.89,0.89,1.0,1.0,0.0,1.0625,2.75
Qwen/Qwen2.5-VL-7B-Instruct,cuda,semantic_visual_conflict_primary,100,0.89,0.89,1.0,1.0,0.0,1.0,2.6875
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_gold,100,0.38,0.38,1.0,0.95,0.0,0.8125,0.625
Qwen/Qwen2.5-VL-7B-Instruct,cuda,visual_only_trash,100,0.05,0.05,1.0,0.94,0.01,1.8125,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_and_visual_aligned,200,0.99,0.99,1.0,1.0,0.0,0.4375,3.8125
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_only_under_ugly,100,0.96,0.96,1.0,1.0,0.0,0.75,3.65625
Qwen/Qwen2.5-VL-7B-Instruct,java,semantic_visual_conflict_primary,100,0.94,0.94,1.0,1.0,0.0,0.6875,3.4375
Qwen/Qwen2.5-VL-7B-Instruct,java,visual_only_gold,100,0.66,0.64,0.9696969696969697,0.94,0.0,0.5,0.75
Qwen/Qwen2.5-VL-7B-Instruct,java,visual_only_trash,100,0.12,0.12,1.0,0.92,0.02,1.6875,0.46875
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_and_visual_aligned,200,1.0,1.0,1.0,1.0,0.0,0.6875,3.78125
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_only_under_ugly,100,0.97,0.97,1.0,1.0,0.0,1.25,3.5625
Qwen/Qwen2.5-VL-7B-Instruct,python,semantic_visual_conflict_primary,100,0.92,0.92,1.0,1.0,0.0,1.34375,3.125
Qwen/Qwen2.5-VL-7B-Instruct,python,visual_only_gold,100,0.66,0.66,1.0,0.97,0.0,0.5625,0.875
Qwen/Qwen2.5-VL-7B-Instruct,python,visual_only_trash,100,0.08,0.08,1.0,0.98,0.0,1.75,0.6875
