experiment,model,language,condition,n,strict_valid_rate,strict_effective_accuracy,strict_valid_accuracy,debiased_accuracy,debiased_tie_rate,debiased_minus_effective,median_abs_b,median_abs_c,mean_abs_b,mean_abs_c
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap60__lnon,1000,0.256,0.125,0.48828125,0.549,0.037,0.42400000000000004,1.125,0.5625,1.0770625,0.6959375
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,1000,0.311,0.166,0.5337620578778135,0.553,0.029,0.387,0.875,0.5625,0.89675,0.65675
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1000,0.308,0.156,0.5064935064935064,0.544,0.035,0.388,1.0625,0.5625,1.0113125,0.7181875
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1000,0.322,0.187,0.5807453416149069,0.561,0.039,0.37400000000000005,0.875,0.5625,0.886625,0.683125
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1000,0.29,0.15,0.5172413793103449,0.557,0.027,0.40700000000000003,1.0,0.5,0.986375,0.6965
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1000,0.325,0.18,0.5538461538461539,0.546,0.036,0.36600000000000005,0.8125,0.5625,0.8624375,0.6699375
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1000,0.298,0.148,0.4966442953020134,0.549,0.032,0.401,1.0,0.5,0.982,0.695375
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1000,0.346,0.206,0.5953757225433526,0.549,0.032,0.3430000000000001,0.8125,0.5,0.84725,0.687625
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,0.305,0.154,0.5049180327868853,0.563,0.03,0.4089999999999999,1.125,0.59375,1.0813125,0.7696875
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,0.306,0.163,0.5326797385620915,0.549,0.035,0.386,0.875,0.5625,0.9340625,0.7133125
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1000,0.297,0.148,0.4983164983164983,0.545,0.035,0.397,1.0625,0.5625,1.0525625,0.7676875
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,0.312,0.167,0.5352564102564102,0.557,0.025,0.39,0.9375,0.5625,0.9526875,0.7216875
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1000,0.497,0.275,0.5533199195171026,0.523,0.039,0.248,0.5625,0.625,0.6313125,0.7489375
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1000,0.634,0.305,0.4810725552050473,0.475,0.025,0.16999999999999998,0.4375,0.6875,0.539,0.83425
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,1000,0.532,0.287,0.5394736842105263,0.507,0.032,0.22000000000000003,0.5625,0.625,0.609625,0.76825
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,1000,0.657,0.324,0.4931506849315068,0.474,0.019,0.14999999999999997,0.4375,0.75,0.51775,0.84725
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,1000,0.495,0.275,0.5555555555555556,0.524,0.031,0.249,0.5625,0.5625,0.58475,0.710375
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,1000,0.678,0.341,0.5029498525073747,0.485,0.029,0.14399999999999996,0.375,0.75,0.4660625,0.8245625
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,1000,0.513,0.295,0.5750487329434698,0.519,0.032,0.22400000000000003,0.5625,0.5625,0.5726875,0.7433125
