model,feature,importance,abs_importance
decision_tree_depth3,num__source_comment_line_count_gold_minus_loser,0.30998045585469874,0.30998045585469874
decision_tree_depth3,num__source_avg_token_length_gold_minus_loser,0.25404884735460914,0.25404884735460914
decision_tree_depth3,num__source_max_line_length_mean,0.1407346689854833,0.1407346689854833
decision_tree_depth3,num__source_halstead_volume_max,0.0951769841154834,0.0951769841154834
decision_tree_depth3,num__source_keyword_count_gold_minus_loser,0.08591502173786263,0.08591502173786263
decision_tree_depth3,num__source_avg_identifier_length_gold_minus_loser,0.07053594528933284,0.07053594528933284
decision_tree_depth3,num__source_literal_count_gold_minus_loser,0.04360807666252993,0.04360807666252993
decision_tree_depth3,num__abs_human_score_gap,0.0,0.0
decision_tree_depth3,num__rf_margin_abs,0.0,0.0
decision_tree_depth3,num__rf_margin_percentile,0.0,0.0
decision_tree_depth3,num__source_loc_total_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_total_max,0.0,0.0
decision_tree_depth3,num__source_loc_total_mean,0.0,0.0
decision_tree_depth3,num__source_loc_total_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_max,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_mean,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_max_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_max_line_length_max,0.0,0.0
decision_tree_depth3,num__source_max_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_count_max,0.0,0.0
