model,feature,importance,abs_importance
decision_tree_depth3,num__visual_aspect_ratio_gold_minus_loser,0.6019335000285386,0.6019335000285386
decision_tree_depth3,num__source_loc_total_max,0.13342630915636872,0.13342630915636872
decision_tree_depth3,num__visual_aspect_ratio_mean,0.1295943233448672,0.1295943233448672
decision_tree_depth3,num__source_blank_line_ratio_gold_minus_loser,0.0729904063682838,0.0729904063682838
decision_tree_depth3,num__source_line_length_std_mean,0.04169672716412186,0.04169672716412186
decision_tree_depth3,num__source_avg_line_length_gold_minus_loser,0.020358733937819777,0.020358733937819777
decision_tree_depth3,num__abs_human_score_gap,0.0,0.0
decision_tree_depth3,num__rf_margin_abs,0.0,0.0
decision_tree_depth3,num__rf_margin_percentile,0.0,0.0
decision_tree_depth3,num__source_loc_total_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_total_mean,0.0,0.0
decision_tree_depth3,num__source_loc_total_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_max,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_mean,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_max_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_max_line_length_max,0.0,0.0
decision_tree_depth3,num__source_max_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_max_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_count_max,0.0,0.0
decision_tree_depth3,num__source_token_count_mean,0.0,0.0
decision_tree_depth3,num__source_token_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_entropy_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_entropy_max,0.0,0.0
decision_tree_depth3,num__source_token_entropy_mean,0.0,0.0
decision_tree_depth3,num__source_token_entropy_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_identifier_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_count_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_keyword_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_keyword_count_max,0.0,0.0
decision_tree_depth3,num__source_keyword_count_mean,0.0,0.0
decision_tree_depth3,num__source_keyword_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_operator_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_operator_count_max,0.0,0.0
decision_tree_depth3,num__source_operator_count_mean,0.0,0.0
decision_tree_depth3,num__source_operator_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_literal_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_literal_count_max,0.0,0.0
decision_tree_depth3,num__source_literal_count_mean,0.0,0.0
decision_tree_depth3,num__source_literal_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_mean_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_mean_max,0.0,0.0
decision_tree_depth3,num__source_indent_mean_mean,0.0,0.0
decision_tree_depth3,num__source_indent_mean_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_max_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_max_max,0.0,0.0
decision_tree_depth3,num__source_indent_max_mean,0.0,0.0
decision_tree_depth3,num__source_indent_max_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_std_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_std_max,0.0,0.0
decision_tree_depth3,num__source_indent_std_mean,0.0,0.0
decision_tree_depth3,num__source_indent_std_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_diff_abs,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_max,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_mean,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_nesting_max_diff_abs,0.0,0.0
decision_tree_depth3,num__source_nesting_max_max,0.0,0.0
decision_tree_depth3,num__source_nesting_max_mean,0.0,0.0
decision_tree_depth3,num__source_nesting_max_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_diff_abs,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_max,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_mean,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_max,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_max,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_vocabulary_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_vocabulary_max,0.0,0.0
decision_tree_depth3,num__source_halstead_vocabulary_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_vocabulary_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_length_max,0.0,0.0
decision_tree_depth3,num__source_halstead_length_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_volume_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_volume_max,0.0,0.0
decision_tree_depth3,num__source_halstead_volume_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_volume_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_brace_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_brace_count_max,0.0,0.0
decision_tree_depth3,num__source_brace_count_mean,0.0,0.0
decision_tree_depth3,num__source_brace_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_parenthesis_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_parenthesis_count_max,0.0,0.0
decision_tree_depth3,num__source_parenthesis_count_mean,0.0,0.0
decision_tree_depth3,num__source_parenthesis_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_method_like_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_method_like_count_max,0.0,0.0
decision_tree_depth3,num__source_method_like_count_mean,0.0,0.0
decision_tree_depth3,num__source_method_like_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_if_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_if_count_max,0.0,0.0
decision_tree_depth3,num__source_if_count_mean,0.0,0.0
decision_tree_depth3,num__source_if_count_gold_minus_loser,0.0,0.0
