source_loc_total,source_loc_nonempty,source_blank_line_ratio,source_comment_line_ratio,source_avg_line_length,source_avg_nonempty_line_length,source_max_line_length,source_token_count,source_avg_token_length,source_token_entropy,source_identifier_count,source_identifier_unique_count,source_avg_identifier_length,source_keyword_count,source_operator_count,source_literal_count,source_indent_mean,source_indent_max,source_indent_std,source_nesting_mean,source_nesting_max,source_cyclomatic_estimate,source_halstead_distinct_operators,source_halstead_distinct_operands,source_halstead_vocabulary,source_halstead_length,source_halstead_volume,rq0_id,dataset_name,source_brace_count,source_parenthesis_count,source_method_like_count,source_if_count,source_for_count,source_while_count,source_switch_count,source_try_count,source_catch_count,source_exception_handling_count,source_api_call_count,source_line_length_std,source_blank_line_count,source_comment_line_count
11.0,8.0,0.2727272727272727,0.0,17.636363636363637,24.25,50.0,42.0,3.595238095238096,4.345313412039782,15.0,11.0,6.333333333333333,6.0,21.0,0.0,15.5,24.0,4.21307488658818,0.75,2.0,4.0,8.0,11.0,19.0,36.0,152.92539048396907,rq0_0000,Buse,2,10,2,1,0,0,1,0,0,0,1,16.923747313774683,3,0
12.0,7.0,0.4166666666666667,0.0,24.166666666666668,41.42857142857143,66.0,67.0,2.7313432835820897,4.19164180181684,18.0,11.0,6.833333333333333,4.0,40.0,5.0,12.571428571428571,16.0,2.5555062599997598,1.1428571428571428,2.0,4.0,10.0,13.0,23.0,63.0,284.98440323159184,rq0_0001,Buse,4,18,3,3,0,0,0,0,0,0,6,23.76213140458761,5,0
7.0,6.0,0.1428571428571428,0.0,38.85714285714285,45.333333333333336,101.0,60.0,3.7666666666666666,4.347860597836286,22.0,12.0,8.181818181818182,3.0,32.0,3.0,12.666666666666666,16.0,2.748737083745107,0.8333333333333334,1.0,3.0,10.0,14.0,24.0,57.0,261.3428625411059,rq0_0002,Buse,1,14,1,2,0,0,0,0,0,0,2,29.906657507406376,1,0
14.0,12.0,0.1428571428571428,0.5,35.357142857142854,41.25,77.0,88.0,4.045454545454546,5.5983584651052825,54.0,42.0,5.703703703703703,5.0,29.0,0.0,6.166666666666667,12.0,2.2669117514559067,0.1666666666666666,1.0,1.0,11.0,42.0,53.0,83.0,475.4173977287455,rq0_0003,Buse,2,4,1,0,0,0,0,0,0,1,0,27.05710137272427,2,7
10.0,9.0,0.1,0.3,23.3,25.88888888888889,51.0,50.0,3.2,4.4883674395583775,16.0,16.0,7.3125,3.0,30.0,1.0,6.888888888888889,12.0,2.469567863432541,0.5555555555555556,2.0,2.0,9.0,17.0,26.0,47.0,220.9206667526313,rq0_0004,Buse,4,12,2,1,0,0,0,0,0,0,3,16.95906837063876,1,3
5.0,4.0,0.2,0.0,22.2,27.75,40.0,26.0,3.3076923076923075,3.517559429596344,7.0,4.0,8.0,3.0,14.0,2.0,4.0,4.0,0.0,0.5,1.0,3.0,5.0,6.0,11.0,23.0,79.56692722865783,rq0_0005,Buse,1,8,1,2,0,0,0,0,0,0,0,13.105723940324701,1,0
12.0,10.0,0.1666666666666666,0.5,25.75,30.9,68.0,81.0,2.925925925925926,5.056787647502681,33.0,25.0,5.090909090909091,5.0,38.0,5.0,3.1,4.0,0.7,0.2,1.0,1.0,11.0,29.0,40.0,76.0,404.4665352114396,rq0_0006,Buse,2,8,1,0,0,0,0,0,0,0,2,22.708753818736948,2,6
5.0,4.0,0.2,0.0,38.2,47.75,101.0,43.0,3.953488372093023,4.297675800911846,18.0,14.0,7.111111111111111,4.0,21.0,0.0,7.0,8.0,1.7320508075688772,0.75,1.0,1.0,7.0,14.0,21.0,39.0,171.30037948837168,rq0_0007,Buse,1,6,1,0,0,0,0,0,0,0,1,36.84779504936489,1,0
11.0,8.0,0.2727272727272727,0.2727272727272727,27.727272727272727,38.125,79.0,71.0,3.0704225352112675,4.689354999658876,28.0,22.0,5.607142857142857,5.0,38.0,0.0,6.75,12.0,2.5860201081971503,0.625,2.0,2.0,9.0,22.0,31.0,66.0,326.9769564855337,rq0_0008,Buse,2,18,2,0,0,1,0,0,0,0,4,25.740279397688642,3,3
13.0,11.0,0.1538461538461538,0.0769230769230769,26.53846153846154,30.63636363636364,52.0,60.0,3.733333333333333,4.545380854413335,19.0,15.0,7.894736842105263,9.0,32.0,0.0,9.090909090909092,12.0,2.466301812045552,1.5454545454545454,2.0,6.0,9.0,15.0,24.0,51.0,233.83308753677892,rq0_0009,Buse,4,12,3,1,0,0,1,0,0,0,3,14.985199799060121,2,1
8.0,5.0,0.375,0.0,17.625,28.2,50.0,24.0,4.791666666666667,3.970175521464345,7.0,5.0,7.571428571428571,4.0,11.0,2.0,10.4,16.0,3.2,0.0,0.0,2.0,6.0,7.0,13.0,20.0,74.00879436282185,rq0_0010,Buse,0,4,0,1,0,0,0,0,0,1,0,17.06559037947413,3,0
8.0,3.0,0.625,0.0,16.75,39.333333333333336,47.0,27.0,3.4444444444444446,3.5417435206018584,11.0,9.0,7.0,0.0,16.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,5.0,9.0,14.0,27.0,102.79858289555531,rq0_0011,Buse,0,8,0,0,0,0,0,0,0,0,3,18.45772196128222,5,0
12.0,7.0,0.4166666666666667,0.0833333333333333,20.416666666666668,35.0,57.0,45.0,3.733333333333333,4.535863096137367,20.0,14.0,6.35,4.0,21.0,0.0,8.571428571428571,12.0,2.5555062599997598,1.1428571428571428,2.0,2.0,9.0,14.0,23.0,41.0,185.46604019833757,rq0_0012,Buse,3,8,2,1,0,0,0,0,0,2,2,21.084980172836033,5,1
6.0,4.0,0.3333333333333333,0.0,53.833333333333336,80.75,98.0,74.0,3.6216216216216215,4.041308392504413,23.0,13.0,9.0,3.0,45.0,3.0,10.0,16.0,3.4641016151377544,0.0,0.0,1.0,8.0,16.0,24.0,71.0,325.5323375512021,rq0_0013,Buse,0,24,0,0,0,0,0,0,0,0,9,40.613695008238565,2,0
6.0,4.0,0.3333333333333333,0.0,28.666666666666668,43.0,67.0,31.0,4.806451612903226,3.808719697344071,11.0,8.0,11.0,3.0,17.0,0.0,9.0,12.0,1.7320508075688772,0.0,0.0,2.0,6.0,8.0,14.0,28.0,106.60593781761293,rq0_0014,Buse,0,8,0,1,0,0,0,0,0,0,2,24.00462918318511,2,0
8.0,4.0,0.5,0.0,26.75,49.5,61.0,46.0,3.0869565217391304,4.271740022894536,15.0,11.0,6.866666666666666,4.0,26.0,1.0,9.0,12.0,1.7320508075688772,0.25,1.0,2.0,9.0,12.0,21.0,42.0,184.47733175670797,rq0_0015,Buse,1,10,0,0,1,0,0,0,0,0,1,23.836683913665507,4,0
8.0,7.0,0.125,0.375,31.125,35.57142857142857,57.0,74.0,2.95945945945946,4.763592305362856,25.0,21.0,5.84,3.0,45.0,1.0,5.714285714285714,8.0,1.979486637221574,0.4285714285714285,1.0,1.0,12.0,22.0,34.0,71.0,361.20986172877406,rq0_0016,Buse,1,10,1,0,0,0,0,0,0,0,2,22.89889462397694,1,3
10.0,8.0,0.2,0.3,30.1,37.625,76.0,52.0,3.692307692307693,4.572955285773964,19.0,17.0,7.736842105263157,6.0,27.0,0.0,7.125,15.0,3.4072532926097527,0.375,1.0,1.0,10.0,17.0,27.0,46.0,218.72482509951956,rq0_0017,Buse,1,4,1,0,0,0,0,0,0,0,0,25.284184780213895,2,3
5.0,3.0,0.4,0.0,30.8,48.66666666666666,71.0,27.0,4.148148148148148,4.060262039120377,10.0,7.0,8.2,3.0,13.0,1.0,8.0,8.0,0.0,0.0,0.0,1.0,7.0,8.0,15.0,24.0,93.76537429460444,rq0_0018,Buse,0,4,0,0,0,0,0,0,0,0,0,25.21428166734083,2,0
6.0,5.0,0.1666666666666666,0.0,16.166666666666668,19.4,40.0,20.0,3.6,3.784183719779189,8.0,7.0,6.75,3.0,9.0,0.0,10.4,12.0,1.9595917942265424,0.6,1.0,2.0,5.0,7.0,12.0,17.0,60.94436251225965,rq0_0019,Buse,1,4,1,1,0,0,0,0,0,0,0,13.334374959313074,1,0
