model,feature,importance,abs_importance
decision_tree_depth3,num__source_comment_line_ratio_gold_minus_loser,0.42010091604114685,0.42010091604114685
decision_tree_depth3,num__source_identifier_count_gold_minus_loser,0.21618823965428843,0.21618823965428843
decision_tree_depth3,num__source_token_entropy_max,0.1460755519549794,0.1460755519549794
decision_tree_depth3,num__source_avg_token_length_mean,0.10306305223808142,0.10306305223808142
decision_tree_depth3,num__source_indent_mean_max,0.06745121216671333,0.06745121216671333
decision_tree_depth3,num__source_indent_mean_gold_minus_loser,0.04712102794479058,0.04712102794479058
decision_tree_depth3,num__abs_human_score_gap,0.0,0.0
decision_tree_depth3,num__rf_margin_abs,0.0,0.0
decision_tree_depth3,num__rf_margin_percentile,0.0,0.0
decision_tree_depth3,num__source_loc_total_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_total_max,0.0,0.0
decision_tree_depth3,num__source_loc_total_mean,0.0,0.0
decision_tree_depth3,num__source_loc_total_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_max,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_mean,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_max_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_max_line_length_max,0.0,0.0
decision_tree_depth3,num__source_max_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_max_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_count_max,0.0,0.0
decision_tree_depth3,num__source_token_count_mean,0.0,0.0
decision_tree_depth3,num__source_token_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_entropy_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_entropy_mean,0.0,0.0
decision_tree_depth3,num__source_token_entropy_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_identifier_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_count_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_keyword_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_keyword_count_max,0.0,0.0
decision_tree_depth3,num__source_keyword_count_mean,0.0,0.0
decision_tree_depth3,num__source_keyword_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_operator_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_operator_count_max,0.0,0.0
decision_tree_depth3,num__source_operator_count_mean,0.0,0.0
decision_tree_depth3,num__source_operator_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_literal_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_literal_count_max,0.0,0.0
decision_tree_depth3,num__source_literal_count_mean,0.0,0.0
decision_tree_depth3,num__source_literal_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_mean_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_mean_mean,0.0,0.0
decision_tree_depth3,num__source_indent_max_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_max_max,0.0,0.0
decision_tree_depth3,num__source_indent_max_mean,0.0,0.0
decision_tree_depth3,num__source_indent_max_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_std_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_std_max,0.0,0.0
