visual_image_width,visual_image_height,visual_aspect_ratio,visual_non_background_pixel_density,visual_code_bounding_box_width,visual_code_bounding_box_height,visual_code_bounding_box_area_ratio,visual_left_margin_mean,visual_left_margin_std,visual_left_margin_min,visual_left_margin_max,visual_indentation_depth_proxy,visual_horizontal_whitespace_ratio,visual_vertical_whitespace_ratio,visual_number_of_visual_text_lines,visual_estimated_line_height,visual_line_spacing_mean,visual_line_length_mean,visual_line_length_max,visual_line_length_std,visual_dense_block_ratio,visual_empty_vertical_gap_count,visual_color_diversity,visual_contrast_score,visual_clutter_score,visual_error,rq0_id,dataset_name,image_path
766.0,245.0,3.126530612244898,0.9972558213886077,766.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0027441786113923117,0.0,1.0,245.0,0.0,766.0,766.0,0.0,1.0,0.0,38.0,52.74760858346339,37.89572121276709,0.0,rq0_0000,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png
778.0,270.0,2.8814814814814813,0.9985432733504713,778.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0014567266495286724,0.0,1.0,270.0,0.0,778.0,778.0,0.0,1.0,0.0,53.0,51.86878445880192,52.92279348757498,0.0,rq0_0001,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png
778.0,220.0,3.536363636363636,0.9956590324842253,778.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00434096751577473,0.0,1.0,220.0,0.0,778.0,778.0,0.0,1.0,0.0,56.0,58.51219293744201,55.75690581911662,0.0,rq0_0002,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0002.png
779.0,420.0,1.8547619047619048,0.9772510544654319,779.0,420.0,1.0,0.0,0.0,0.0,0.0,0.0,0.022748945534568077,0.0,1.0,420.0,0.0,779.0,779.0,0.0,1.0,0.0,32.0,50.416037233556594,31.27203374289382,0.0,rq0_0003,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0003.png
670.0,245.0,2.7346938775510203,0.9900456899177581,670.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009954310082241902,0.0,1.0,245.0,0.0,670.0,670.0,0.0,1.0,0.0,54.0,53.18539946147587,53.462467255558934,0.0,rq0_0004,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0004.png
537.0,120.0,4.475,0.9966325263811298,537.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0033674736188702425,0.0,1.0,120.0,0.0,537.0,537.0,0.0,1.0,0.0,41.0,62.91717454668815,40.86193358162632,0.0,rq0_0005,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0005.png
779.0,320.0,2.434375,0.9862684531450577,779.0,320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013731546854942267,0.0,1.0,320.0,0.0,779.0,779.0,0.0,1.0,0.0,56.0,49.491504526125894,55.231033376123236,0.0,rq0_0006,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0006.png
824.0,145.0,5.682758620689655,0.9958235687981252,824.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004176431201874831,0.0,1.0,145.0,0.0,824.0,824.0,0.0,1.0,0.0,39.0,58.90389206352668,38.83711918312688,0.0,rq0_0007,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0007.png
779.0,295.0,2.640677966101695,0.9893083266247471,779.0,295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010691673375252897,0.0,1.0,295.0,0.0,779.0,779.0,0.0,1.0,0.0,41.0,50.96319683391827,40.56164139161463,0.0,rq0_0008,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0008.png
684.0,320.0,2.1375,0.9971171418128655,684.0,320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0028828581871345182,0.0,1.0,320.0,0.0,684.0,684.0,0.0,1.0,0.0,43.0,54.840297513276475,42.876037097953215,0.0,rq0_0009,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0009.png
802.0,170.0,4.7176470588235295,0.9979976529265072,802.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002002347073492783,0.0,1.0,170.0,0.0,802.0,802.0,0.0,1.0,0.0,41.0,51.582154018220116,40.91790376998679,0.0,rq0_0010,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0010.png
621.0,170.0,3.652941176470588,0.9975940134507909,621.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0024059865492090937,0.0,1.0,170.0,0.0,621.0,621.0,0.0,1.0,0.0,25.0,57.52665460865763,24.93985033626977,0.0,rq0_0011,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0011.png
741.0,295.0,2.511864406779661,0.9954161806079737,741.0,295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004583819392026345,0.0,1.0,295.0,0.0,741.0,741.0,0.0,1.0,0.0,40.0,51.8886448733126,39.81664722431895,0.0,rq0_0012,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0012.png
779.0,220.0,3.540909090909091,0.9969599719920644,779.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003040028007935569,0.0,1.0,220.0,0.0,779.0,779.0,0.0,1.0,0.0,56.0,58.350050066582774,55.82975843155561,0.0,rq0_0013,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0013.png
779.0,170.0,4.58235294117647,0.9971230083817866,779.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0028769916182134203,0.0,1.0,170.0,0.0,779.0,779.0,0.0,1.0,0.0,41.0,55.396853086995364,40.88204334365325,0.0,rq0_0014,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0014.png
779.0,220.0,3.540909090909091,0.9974676158244836,779.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002532384175516378,0.0,1.0,220.0,0.0,779.0,779.0,0.0,1.0,0.0,56.0,53.55619710456141,55.858186486171086,0.0,rq0_0015,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0015.png
814.0,195.0,4.174358974358975,0.9903546903546904,814.0,195.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00964530964530963,0.0,1.0,195.0,0.0,814.0,814.0,0.0,1.0,0.0,56.0,54.969098302992585,55.45986265986266,0.0,rq0_0016,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0016.png
779.0,295.0,2.640677966101695,0.9936728965862361,779.0,295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006327103413763857,0.0,1.0,295.0,0.0,779.0,779.0,0.0,1.0,0.0,36.0,52.61248329112815,35.7722242771045,0.0,rq0_0017,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0017.png
779.0,145.0,5.372413793103449,0.9974680182373512,779.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002531981762648794,0.0,1.0,145.0,0.0,779.0,779.0,0.0,1.0,0.0,47.0,56.34530188328736,46.88099685715551,0.0,rq0_0018,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0018.png
609.0,145.0,4.2,0.9969310911046939,609.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0030689088953060883,0.0,1.0,145.0,0.0,609.0,609.0,0.0,1.0,0.0,30.0,58.39803104187229,29.907932733140818,0.0,rq0_0019,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0019.png
777.0,245.0,3.1714285714285713,0.99135870564442,777.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008641294355580031,0.0,1.0,245.0,0.0,777.0,777.0,0.0,1.0,0.0,41.0,55.77874061899773,40.645706931421216,0.0,rq0_0020,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0020.png
778.0,245.0,3.1755102040816325,0.997880488956508,778.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0021195110434919506,0.0,1.0,245.0,0.0,778.0,778.0,0.0,1.0,0.0,58.0,54.52283943797804,57.87706835947747,0.0,rq0_0021,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0021.png
671.0,195.0,3.4410256410256412,0.9969200198708396,671.0,195.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0030799801291604423,0.0,1.0,195.0,0.0,671.0,671.0,0.0,1.0,0.0,37.0,60.54808656682631,36.886040735221066,0.0,rq0_0022,Buse,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0022.png
