model,language,contrast_category,baseline,condition,n_pairs,delta_effective_accuracy,delta_e_cluster_se,delta_e_ci_low,delta_e_ci_high,delta_strict_swap_error,delta_valid_accuracy,mcnemar_exact_p,holm_p,holm_reject_0_05
Gemma-3-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.007,0.01670456237080164,-0.03974034062427423,0.02574034062427423,0.04500000000000001,0.02994791666666674,0.6767596279775558,1.0,False
Gemma-3-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,0.008,0.013746612091711899,-0.01894286460919814,0.03494286460919814,0.0050000000000000044,0.014026402640264113,0.5870535639169897,1.0,False
Gemma-3-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,0.007,0.017345616276166178,-0.026996783190937478,0.040996783190937476,-0.0050000000000000044,0.00448247758761211,0.6539420644558549,1.0,False
Gemma-3-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.021,0.0155373625818542,-0.0514526710751745,0.009452671075174498,0.033,0.0012820512820512775,0.14338908065653874,0.6406310815374938,False
Gemma-3-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.005,0.017397841820179952,-0.039099143376277484,0.029099143376277486,0.028999999999999998,0.01828231292517013,0.7699893951857694,1.0,False
Gemma-3-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.05,0.027347577589249144,-0.10360026713934303,0.0036002671393430344,0.11499999999999999,0.038204393505253176,0.011405736382451842,0.09124589105961474,False
Gemma-3-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.015,0.014949837791762169,-0.04430114364656966,0.014301143646569665,0.010000000000000009,-0.010832044874330315,0.32818195960323315,1.0,False
Gemma-3-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,-0.01,0.01097831498910457,-0.031517101989581194,0.011517101989581195,0.02300000000000002,0.005344271580351334,0.3583976321916263,1.0,False
Gemma-3-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,0.012,0.010839340201322113,-0.009244716410768478,0.03324471641076848,-0.00899999999999998,0.007720888560963424,0.302877552630325,1.0,False
Gemma-3-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.021,0.01666351085455894,-0.05365988113092779,0.011659881130927783,0.017000000000000015,-0.012984540055311244,0.12812621630749876,0.6406310815374938,False
Gemma-3-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.013,0.01093783095499285,-0.03443775474077333,0.008437754740773332,0.034,0.010272703694097607,0.24143171756517778,0.7242951526955334,False
Gemma-3-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.17,0.025087100270856342,-0.21916981300742347,-0.12083018699257655,0.21800000000000003,-0.05752404891961138,3.329683498598395e-18,2.9967151487385556e-17,True
Gemma-3-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.016,0.024260092003123127,-0.0635489065877495,0.0315489065877495,0.007999999999999952,-0.015266676285288217,0.3466296314376465,1.0,False
Gemma-3-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,-0.032,0.01577492491265805,-0.06291828468763344,-0.001081715312366567,0.006000000000000005,-0.03923456908541556,0.013401204087274693,0.12061083678547223,False
Gemma-3-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,-0.012,0.014886421195169664,-0.04117684940122625,0.017176849401226248,-0.01200000000000001,-0.026568099939175527,0.38751908484905306,1.0,False
Gemma-3-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.032,0.019112306401897167,-0.06945943220921276,0.005459432209212758,0.04999999999999999,-0.0006130268199233679,0.020597045422768,0.144179317959376,False
Gemma-3-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.028,0.02205995684492602,-0.07123672091656284,0.015236720916562838,0.0010000000000000009,-0.037801485997332795,0.05720157618329751,0.34320945709978506,False
Gemma-3-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.009,0.04234235012372363,-0.0919894812632834,0.07398948126328342,0.01699999999999996,0.002456653029417555,0.7045576663316959,1.0,False
