model,language,contrast_category,baseline,condition,n_pairs,delta_effective_accuracy,delta_e_cluster_se,delta_e_ci_low,delta_e_ci_high,delta_strict_swap_error,delta_valid_accuracy,mcnemar_exact_p,holm_p,holm_reject_0_05
Gemma4-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.0020000000000000018,0.019938244255701145,-0.04107824065613686,0.03707824065613686,0.017000000000000015,0.011991793325796585,0.9388949735923954,1.0,False
Gemma4-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,-0.018000000000000016,0.016192476771636884,-0.049736671292909714,0.013736671292909682,0.027000000000000024,0.0013729977116705427,0.0854105891128046,1.0,False
Gemma4-12B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,0.01100000000000001,0.01690254170235944,-0.02212837298381083,0.04412837298381085,0.014000000000000012,0.024878486346663342,0.3633632605480971,1.0,False
Gemma4-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.040000000000000036,0.017818911302321473,-0.07492442439626383,-0.00507557560373624,0.04799999999999993,-0.0074088567142763795,0.001476228300521692,0.02509588110886876,True
Gemma4-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.031000000000000028,0.01951744235293138,-0.06925348408208223,0.007253484082082172,0.04299999999999993,-0.0006438510068274006,0.012456898341172414,0.1868534751175862,False
Gemma4-12B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.05499999999999994,0.024444383813056116,-0.10291011189786381,-0.007089888102136073,0.04200000000000004,-0.031035152456787674,0.000245924383664624,0.0044266389059632325,True
Gemma4-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,0.0,0.02177154105707724,-0.04267143635980649,0.04267143635980649,-0.0010000000000000009,-0.0007247687424147831,1.0,1.0,False
Gemma4-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,0.007000000000000006,0.011736740007344468,-0.01600358771030552,0.03000358771030553,-0.0030000000000000027,0.0058215255221327755,0.47668779343427553,1.0,False
Gemma4-12B,java,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,-0.015000000000000013,0.01388497929418695,-0.04221405934269082,0.012214059342690788,-0.007000000000000006,-0.02208424450692492,0.1329018851954619,1.0,False
Gemma4-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.02100000000000002,0.01699716429290485,-0.05431382985340374,0.0123138298534037,0.025000000000000022,-0.00608939030452349,0.09639401732287689,1.0,False
Gemma4-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,0.0020000000000000018,0.013414117041385919,-0.024291186285521384,0.028291186285521387,-0.0050000000000000044,-0.0013294298455043263,0.9087769252754927,1.0,False
Gemma4-12B,java,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.041000000000000036,0.024364272080240786,-0.08875309578680676,0.006753095786806683,0.06099999999999994,-0.00290600894937898,0.010456442266634424,0.1673030762661508,False
Gemma4-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.0119999999999999,0.025337354558043347,-0.06166030239728664,0.03766030239728684,-0.007000000000000006,-0.01986614347109683,0.47216110351417045,1.0,False
Gemma4-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,-0.017999999999999905,0.015385787467659885,-0.048155589310400995,0.012155589310401189,0.009000000000000008,-0.014336917562724039,0.08862608011406767,1.0,False
Gemma4-12B,python,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,0.009000000000000008,0.0169410629536638,-0.024203873249006788,0.042203873249006804,0.0050000000000000044,0.014909877309070896,0.49126245778292355,1.0,False
Gemma4-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.02299999999999991,0.019587642175616746,-0.06139107320626652,0.015391073206266703,0.014000000000000012,-0.01636202894384997,0.07113927435911305,0.9959498410275827,False
Gemma4-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.019999999999999907,0.01852559310791425,-0.056309495283755284,0.01630949528375547,0.0040000000000000036,-0.020739478587133764,0.13524792193400179,1.0,False
Gemma4-12B,python,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.0040000000000000036,0.03164796208288932,-0.06602886586655231,0.0580288658665523,0.008000000000000007,0.001746717338763748,0.8483609021957913,1.0,False
