model,language,condition,n_pairs,n_parsed,n_valid,n_correct,valid_accuracy,valid_ci_low,valid_ci_high,effective_accuracy,effective_ci_low,effective_ci_high,strict_swap_error,debiased_accuracy_D,first_position_rate,n_boundaries,n_exact_ties,share_abs_b_gt_abs_c,median_abs_b,median_abs_c
Gemma4-12B,cuda,gaussian_sigma_4,1000,999,813,551,0.6777367773677737,0.6448409692047903,0.7089608571829651,0.551,0.5200351373690727,0.5815745332654009,0.18700000000000006,0.6475,0.44,3,3,0.185,1.4375,6.25
Gemma4-12B,cuda,mono_light__fs20__wrap80__lnon,1000,1000,841,617,0.7336504161712247,0.7027612115378182,0.7624148234410816,0.617,0.5864772698839885,0.6466272686303917,0.15900000000000003,0.705,0.4675,5,5,0.158,1.5,7.125
Gemma4-12B,cuda,monokai_dark__fs20__wrap60__lnon,1000,995,838,604,0.720763723150358,0.6894345321762785,0.750078152929917,0.604,0.5733454840711704,0.6338585501638342,0.16200000000000003,0.689,0.496,10,10,0.154,1.3125,6.75
Gemma4-12B,cuda,monokai_dark__fs20__wrap80__lnon,1000,999,855,606,0.7087719298245614,0.6774386258729399,0.7382376276817144,0.606,0.5753643006840624,0.6358244265169998,0.14500000000000002,0.689,0.4695,3,3,0.142,1.4375,7.0
Gemma4-12B,cuda,monokai_dark__fs24__wrap80__lnon,1000,995,828,588,0.7101449275362319,0.6783279108261138,0.7400210381351,0.588,0.5572138017865,0.6181126887200421,0.17200000000000004,0.685,0.4665,5,5,0.167,1.40625,6.5625
Gemma4-12B,cuda,no_blank_lines,1000,996,812,575,0.708128078817734,0.6759368189819165,0.7383593611712495,0.575,0.5441311933323346,0.6052947928948321,0.18799999999999994,0.687,0.4545,5,5,0.181,1.5,6.375
Gemma4-12B,cuda,no_indent,1000,997,807,566,0.701363073110285,0.6688937233969887,0.7319244593248064,0.566,0.5350866438157509,0.5964082240641557,0.19299999999999995,0.676,0.4565,7,7,0.188,1.375,6.3125
Gemma4-12B,java,gaussian_sigma_4,1000,999,812,512,0.6305418719211823,0.5968019238971293,0.6630524849563358,0.512,0.4810325544060909,0.5428756033902558,0.18799999999999994,0.609,0.4675,4,4,0.186,1.5,6.4375
Gemma4-12B,java,mono_light__fs20__wrap80__lnon,1000,1000,880,538,0.6113636363636363,0.578740664357482,0.6430185641149206,0.538,0.5070132970793998,0.5686958692756982,0.12,0.6,0.488,6,6,0.116,1.5625,8.34375
Gemma4-12B,java,monokai_dark__fs20__wrap60__lnon,1000,999,874,553,0.6327231121281465,0.6002478181495172,0.6640368059916943,0.553,0.5220403713020199,0.5835539922985113,0.126,0.6185,0.487,1,1,0.125,1.4375,8.0625
Gemma4-12B,java,monokai_dark__fs20__wrap80__lnon,1000,999,873,553,0.6334478808705613,0.6009637476460992,0.6647627387741173,0.553,0.5220403713020199,0.5835539922985113,0.127,0.6065,0.495,4,4,0.125,1.4375,7.90625
Gemma4-12B,java,monokai_dark__fs24__wrap80__lnon,1000,1000,876,560,0.639269406392694,0.6069248429694881,0.6703978468785764,0.56,0.5290626428712739,0.5904781461104596,0.124,0.6145,0.478,4,4,0.124,1.5625,8.0
Gemma4-12B,java,no_blank_lines,1000,1000,878,555,0.6321184510250569,0.599709956543192,0.6633758823900995,0.555,0.5240461066241248,0.5855329499424643,0.122,0.613,0.491,5,5,0.12,1.40625,7.953125
Gemma4-12B,java,no_indent,1000,999,848,532,0.6273584905660378,0.5943098298855866,0.6592584811696592,0.532,0.5010103116491519,0.5627447758077727,0.15200000000000002,0.62,0.4705,1,1,0.151,1.625,7.1875
Gemma4-12B,python,gaussian_sigma_4,1000,997,829,566,0.6827503015681544,0.6502880263369825,0.7135267151013808,0.566,0.5350866438157509,0.5964082240641557,0.17100000000000004,0.668,0.495,7,7,0.166,1.28125,6.3125
Gemma4-12B,python,mono_light__fs20__wrap80__lnon,1000,997,832,579,0.6959134615384616,0.6638138715960855,0.7262122470651737,0.579,0.5481543035657991,0.6092410685934831,0.16800000000000004,0.662,0.4615,7,7,0.165,1.46875,6.59375
Gemma4-12B,python,monokai_dark__fs20__wrap60__lnon,1000,999,844,558,0.6611374407582938,0.6285387885014754,0.6922759076545001,0.558,0.5270556511526086,0.5885004448630671,0.15600000000000003,0.6435,0.4975,2,2,0.154,1.3125,6.8125
Gemma4-12B,python,monokai_dark__fs20__wrap80__lnon,1000,999,837,570,0.6810035842293907,0.6486623147107984,0.7116909918744487,0.57,0.539105173730678,0.6003590800813441,0.16300000000000003,0.6515,0.485,4,4,0.159,1.375,6.5
Gemma4-12B,python,monokai_dark__fs24__wrap80__lnon,1000,1000,828,552,0.6666666666666666,0.6338529864673721,0.697941007536349,0.552,0.5210376917018592,0.5825643254156431,0.17200000000000004,0.6495,0.495,7,7,0.169,1.398425,6.5
Gemma4-12B,python,no_blank_lines,1000,998,833,550,0.6602641056422569,0.6274310022664528,0.6916258479716623,0.55,0.5190327082257413,0.5805846159257033,0.16700000000000004,0.6435,0.49,6,6,0.162,1.4375,6.59375
Gemma4-12B,python,no_indent,1000,1000,823,547,0.6646415552855407,0.6316876022043337,0.6960656775919182,0.547,0.5160261711771321,0.5776141135252257,0.17700000000000005,0.631,0.4655,4,4,0.177,1.421875,6.40625
