model,language,contrast_category,baseline,condition,n_pairs,delta_effective_accuracy,delta_e_cluster_se,delta_e_ci_low,delta_e_ci_high,delta_strict_swap_error,delta_valid_accuracy,mcnemar_exact_p,holm_p,holm_reject_0_05
InternVL3.5-8B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.073,0.017490376897025442,-0.10728050879420128,-0.038719491205798706,0.09799999999999998,-0.01236345425521923,1.8343285602439035e-07,1.650895704219513e-06,True
InternVL3.5-8B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,-0.018,0.010117919944336352,-0.03783075868935876,0.0018307586893587594,0.02899999999999997,0.0017398614896833031,0.06934604368506445,0.34673021842532226,False
InternVL3.5-8B,cuda,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,-0.009,0.011230542106238724,-0.031011458055088502,0.013011458055088502,0.043999999999999984,0.0288914946751464,0.4215233436157706,1.0,False
InternVL3.5-8B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.011,0.011094995087876446,-0.032745790780886644,0.010745790780886645,0.02899999999999997,0.01154378305831083,0.3895026289761408,0.7790052579522816,False
InternVL3.5-8B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.066,0.011470177679530475,-0.08848113514815495,-0.04351886485184506,0.07900000000000001,-0.020453955796267187,1.3004164681088998e-08,7.802498808653399e-08,True
InternVL3.5-8B,cuda,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.205,0.026416034903066005,-0.2567744770243624,-0.1532255229756376,0.30599999999999994,-0.0044873433510630445,4.935922035619035e-31,3.948737628495228e-30,True
InternVL3.5-8B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.04,0.019443621061931864,-0.07810879701043089,-0.0018912029895691088,0.062,-0.002169863270494732,0.011664092317677711,0.08164864622374399,False
InternVL3.5-8B,java,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,0.009,0.010677844070785163,-0.01192818981127348,0.02992818981127348,-0.025000000000000022,-0.009273157191323156,0.43944010177908255,1.0,False
InternVL3.5-8B,java,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,0.023,0.011546964362983025,0.00036836571778578117,0.045631634282214215,-0.035999999999999976,0.000775484171416374,0.05232353322391856,0.3139411993435114,False
InternVL3.5-8B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.018,0.0123745471028235,-0.04225366664652853,0.00625366664652853,0.014000000000000012,-0.013819661252950755,0.17604418967235966,0.528132569017079,False
InternVL3.5-8B,java,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,0.004,0.010942858127564221,-0.017447607817957286,0.025447607817957286,-0.0020000000000000018,0.004007692389421891,0.7769647513696718,0.7790052579522816,False
InternVL3.5-8B,java,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.17,0.02345597152112869,-0.21597285940380945,-0.12402714059619059,0.21200000000000002,-0.08001728368389371,3.57513582844014e-19,2.502595079908098e-18,True
InternVL3.5-8B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,-0.063,0.0225742793018957,-0.10724477440866356,-0.01875522559133644,0.07500000000000001,-0.020760496786867755,7.5775352776121006e-06,6.0620282220896805e-05,True
InternVL3.5-8B,python,rendering,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,0.016,0.014401391043923562,-0.012226207773367873,0.04422620777336787,-0.022999999999999965,0.0004089660487260893,0.1409562882123085,0.563825152849234,False
InternVL3.5-8B,python,rendering,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,-0.005,0.01353578036169329,-0.03152964201156339,0.021529642011563394,0.03200000000000003,0.02781580568897557,0.6991749840078747,1.0,False
InternVL3.5-8B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_indent,1000,-0.038,0.01636422121581094,-0.0700732842180357,-0.005926715781964298,0.05399999999999999,-0.0018297821114722224,0.0005978811310943105,0.0029894056554715526,True
InternVL3.5-8B,python,perturbation,monokai_dark__fs20__wrap80__lnon,no_blank_lines,1000,-0.043,0.018789167251371166,-0.07982609111218691,-0.006173908887813072,0.08600000000000002,0.0285963318589455,0.0016191812707859628,0.006476725083143851,True
InternVL3.5-8B,python,perturbation,monokai_dark__fs20__wrap80__lnon,gaussian_sigma_4,1000,-0.277,0.031999555090657134,-0.33971797549899335,-0.2142820245010067,0.32600000000000007,-0.17269895553655623,3.116389838465406e-54,2.8047508546188653e-53,True
