model,language,condition,n_pairs,n_parsed,n_valid,n_correct,valid_accuracy,valid_ci_low,valid_ci_high,effective_accuracy,effective_ci_low,effective_ci_high,strict_swap_error,debiased_accuracy_D,first_position_rate,n_boundaries,n_exact_ties,share_abs_b_gt_abs_c,median_abs_b,median_abs_c
InternVL3.5-8B,cuda,gaussian_sigma_4,1000,990,437,288,0.6590389016018307,0.613381195509299,0.7019249019975967,0.288,0.2607870341550728,0.3168355114428025,0.563,0.593,0.2185,23,9,0.553,1.9375,1.5625
InternVL3.5-8B,cuda,mono_light__fs20__wrap80__lnon,1000,1000,699,484,0.6924177396280401,0.6572318086274298,0.7255003091553747,0.484,0.4531466082917357,0.514975847979802,0.30100000000000005,0.653,0.3915,22,10,0.296,1.0625,2.3125
InternVL3.5-8B,cuda,monokai_dark__fs20__wrap60__lnon,1000,1000,645,420,0.6511627906976745,0.6135848814054149,0.6869507846638027,0.42,0.3897726821587803,0.4508395991989084,0.355,0.629,0.3475,18,9,0.355,1.25,2.0
InternVL3.5-8B,cuda,monokai_dark__fs20__wrap80__lnon,1000,1000,743,493,0.6635262449528937,0.6287872711828156,0.6965829893055496,0.493,0.46209940740448396,0.5239541672143138,0.257,0.64,0.3975,35,5,0.254,1.0625,2.3125
InternVL3.5-8B,cuda,monokai_dark__fs24__wrap80__lnon,1000,1000,714,475,0.665266106442577,0.629849532920837,0.6989138689418982,0.475,0.44420380838551404,0.5059875295387637,0.28600000000000003,0.631,0.379,23,5,0.283,1.0625,2.3125
InternVL3.5-8B,cuda,no_blank_lines,1000,1000,664,427,0.6430722891566265,0.6059044869960529,0.678594172813883,0.427,0.3966791104990976,0.4578795962397934,0.33599999999999997,0.614,0.362,20,10,0.334,1.1875,2.25
InternVL3.5-8B,cuda,no_indent,1000,999,714,482,0.6750700280112045,0.6398591072967609,0.7084072082357978,0.482,0.4511584546689284,0.5129793086365515,0.28600000000000003,0.636,0.389,24,10,0.281,1.0625,2.3125
InternVL3.5-8B,java,gaussian_sigma_4,1000,886,473,257,0.5433403805496829,0.4982810268298762,0.587701429690158,0.257,0.23088201740604794,0.28497778721793177,0.527,0.46,0.244,18,11,0.413,1.5,1.8125
InternVL3.5-8B,java,mono_light__fs20__wrap80__lnon,1000,1000,721,450,0.624133148404993,0.5882091479555912,0.6587414062955829,0.45,0.4194153840742968,0.4809672917742588,0.279,0.595,0.4115,17,11,0.273,1.09375,2.5
InternVL3.5-8B,java,monokai_dark__fs20__wrap60__lnon,1000,999,623,387,0.6211878009630819,0.5824633137024151,0.6584269431164038,0.387,0.35729917409070144,0.417565673327034,0.377,0.599,0.34,19,4,0.374,1.375,2.125
InternVL3.5-8B,java,monokai_dark__fs20__wrap80__lnon,1000,996,685,427,0.6233576642335766,0.5864787727732437,0.6588606995188717,0.427,0.3966791104990976,0.4578795962397934,0.31499999999999995,0.608,0.4165,22,3,0.303,1.125,2.375
InternVL3.5-8B,java,monokai_dark__fs24__wrap80__lnon,1000,997,710,436,0.6140845070422535,0.5777538552660564,0.6491872925171405,0.436,0.4055679635294317,0.46692186155671933,0.29000000000000004,0.59,0.403,29,5,0.282,1.1875,2.4375
InternVL3.5-8B,java,no_blank_lines,1000,1000,687,431,0.6273653566229985,0.5905955722143116,0.6627186980362535,0.431,0.40062844376747236,0.46189964890353424,0.31299999999999994,0.596,0.4035,31,6,0.306,1.125,2.375
InternVL3.5-8B,java,no_indent,1000,995,671,409,0.6095380029806259,0.5721016322628073,0.645727308266257,0.409,0.37893242495569907,0.4397640450886719,0.32899999999999996,0.593,0.366,10,7,0.323,1.1875,2.375
InternVL3.5-8B,python,gaussian_sigma_4,1000,942,313,160,0.5111821086261981,0.45600509567328673,0.5660879726582836,0.16,0.13858526208349012,0.1840169336866874,0.687,0.476,0.1565,21,14,0.629,2.125,1.375
InternVL3.5-8B,python,mono_light__fs20__wrap80__lnon,1000,1000,607,432,0.7116968698517299,0.6744192580604934,0.7463118437481014,0.432,0.40161609445686075,0.4629043446971748,0.393,0.654,0.3165,31,15,0.389,1.3125,1.8125
InternVL3.5-8B,python,monokai_dark__fs20__wrap60__lnon,1000,1000,564,374,0.6631205673758865,0.6231266057118444,0.7009075012414155,0.374,0.34454609812769077,0.40441824501066914,0.43600000000000005,0.625,0.298,23,6,0.436,1.3125,1.59375
InternVL3.5-8B,python,monokai_dark__fs20__wrap80__lnon,1000,999,639,437,0.6838810641627543,0.6468226619978736,0.7187418123767448,0.437,0.40655624686835734,0.4679259247008226,0.361,0.644,0.3335,19,12,0.357,1.125,1.8125
InternVL3.5-8B,python,monokai_dark__fs24__wrap80__lnon,1000,997,662,453,0.6842900302114804,0.6479065486308894,0.7185470519486855,0.453,0.42238588647477426,0.483973828822868,0.33799999999999997,0.645,0.3485,25,12,0.334,1.0625,2.0
InternVL3.5-8B,python,no_blank_lines,1000,998,553,394,0.7124773960216998,0.6733902919078686,0.7486328823322362,0.394,0.3641755734830001,0.4246356993159376,0.44699999999999995,0.658,0.298,21,13,0.442,1.4375,1.75
InternVL3.5-8B,python,no_indent,1000,998,585,399,0.6820512820512821,0.643232052506567,0.7184951948013706,0.399,0.3690912514553691,0.42968175375871304,0.41500000000000004,0.634,0.3035,19,11,0.41,1.25,1.875
