snippet_id,dataset_name,ocr_engine,feature_loc_total,feature_loc_nonempty,feature_blank_line_ratio,feature_comment_line_ratio,feature_avg_line_length,feature_avg_nonempty_line_length,feature_max_line_length,feature_token_count,feature_avg_token_length,feature_token_entropy,feature_identifier_count,feature_identifier_unique_count,feature_avg_identifier_length,feature_keyword_count,feature_operator_count,feature_literal_count,feature_indent_mean,feature_indent_max,feature_indent_std,feature_nesting_mean,feature_nesting_max,feature_cyclomatic_estimate,feature_halstead_distinct_operators,feature_halstead_distinct_operands,feature_halstead_vocabulary,feature_halstead_length,feature_halstead_volume
rq0_0000,Buse,easyocr,21.0,21.0,0.0,0.0,7.333333333333333,7.333333333333333,32.0,41.0,3.658536585365854,4.558652309443365,15.0,11.0,6.333333333333333,6.0,16.0,4.0,0.0,0.0,0.0,0.6666666666666666,2.0,4.0,7.0,15.0,22.0,35.0,156.0801066523054
rq0_0001,Buse,easyocr,28.0,28.0,0.0,0.0,7.035714285714286,7.035714285714286,30.0,68.0,2.661764705882353,4.467156819671162,22.0,13.0,5.7272727272727275,4.0,32.0,10.0,0.0,0.0,0.0,0.8571428571428571,1.0,4.0,8.0,20.0,28.0,64.0,307.67071501168664
rq0_0002,Buse,easyocr,28.0,28.0,0.0,0.0,8.035714285714286,8.035714285714286,29.0,55.0,3.981818181818182,4.562531305530889,24.0,15.0,7.5,3.0,22.0,6.0,0.0,0.0,0.0,0.8571428571428571,1.0,3.0,8.0,21.0,29.0,52.0,252.61501174663374
rq0_0003,Buse,easyocr,53.0,53.0,0.0,0.03773584905660377,6.7924528301886795,6.7924528301886795,20.0,78.0,4.435897435897436,5.830148693165749,53.0,42.0,5.773584905660377,5.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,49.0,57.0,73.0,425.80097103402613
rq0_0004,Buse,easyocr,15.0,15.0,0.0,0.06666666666666667,11.066666666666666,11.066666666666666,40.0,45.0,3.4444444444444446,4.694646363420182,17.0,17.0,6.9411764705882355,3.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,23.0,29.0,42.0,204.035201795358
rq0_0005,Buse,easyocr,8.0,8.0,0.0,0.0,11.0,11.0,24.0,23.0,3.608695652173913,3.2733494559629492,7.0,4.0,8.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,9.0,20.0,63.39850002884624
rq0_0006,Buse,easyocr,39.0,39.0,0.0,0.02564102564102564,6.153846153846154,6.153846153846154,26.0,71.0,3.23943661971831,5.547565605389704,32.0,26.0,5.21875,5.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,39.0,48.0,66.0,368.6075250475963
rq0_0007,Buse,easyocr,15.0,15.0,0.0,0.0,11.533333333333333,11.533333333333333,30.0,40.0,4.15,4.515311532225103,20.0,16.0,6.45,4.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,17.0,23.0,36.0,162.84823041805248
rq0_0008,Buse,easyocr,28.0,28.0,0.0,0.03571428571428571,8.178571428571429,8.178571428571429,36.0,65.0,3.292307692307692,4.709701466375346,26.0,20.0,5.961538461538462,5.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,27.0,32.0,60.0,300.0
rq0_0009,Buse,easyocr,24.0,24.0,0.0,0.0,9.666666666666666,9.666666666666666,42.0,53.0,4.132075471698113,4.720673700124442,19.0,15.0,7.894736842105263,9.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,21.0,26.0,44.0,206.81934759820803
rq0_0010,Buse,easyocr,17.0,17.0,0.0,0.0,6.294117647058823,6.294117647058823,27.0,26.0,3.9615384615384617,4.469670487371861,13.0,11.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,19.0,22.0,93.45440529575887
rq0_0011,Buse,easyocr,6.0,6.0,0.0,0.0,17.333333333333332,17.333333333333332,41.0,28.0,3.357142857142857,3.807354922057604,11.0,9.0,7.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,17.0,28.0,114.4489595550095
rq0_0012,Buse,easyocr,26.0,26.0,0.0,0.0,6.846153846153846,6.846153846153846,39.0,46.0,3.717391304347826,4.768020923401285,20.0,15.0,6.35,4.0,14.0,8.0,0.0,0.0,0.0,1.2307692307692308,2.0,2.0,5.0,22.0,27.0,42.0,199.70527509086565
rq0_0013,Buse,easyocr,18.0,18.0,0.0,0.0,15.666666666666666,15.666666666666666,54.0,71.0,3.732394366197183,4.226041868547061,28.0,17.0,7.571428571428571,3.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,29.0,68.0,330.3427076686749
rq0_0014,Buse,easyocr,18.0,18.0,0.0,0.0,8.38888888888889,8.38888888888889,30.0,31.0,4.774193548387097,4.147114052043202,12.0,10.0,10.083333333333334,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.0,18.0,28.0,116.75790004038474
rq0_0015,Buse,easyocr,19.0,19.0,0.0,0.0,7.7368421052631575,7.7368421052631575,26.0,42.0,3.2857142857142856,4.496849792435026,13.0,11.0,7.769230769230769,4.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,18.0,24.0,38.0,174.22857502740393
rq0_0016,Buse,easyocr,22.0,22.0,0.0,0.045454545454545456,10.136363636363637,10.136363636363637,30.0,66.0,3.121212121212121,5.082516188216575,28.0,24.0,5.678571428571429,3.0,30.0,5.0,0.0,0.0,0.0,0.5909090909090909,1.0,1.0,10.0,29.0,39.0,63.0,332.98033978832166
rq0_0017,Buse,easyocr,26.0,26.0,0.0,0.038461538461538464,7.6923076923076925,7.6923076923076925,25.0,48.0,3.9583333333333335,4.91070150120865,19.0,17.0,7.7368421052631575,6.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,25.0,32.0,42.0,210.0
