pair_id,snippet_i,snippet_j,dataset_i,dataset_j,dataset_name_i,dataset_name_j,z_i,z_j,human_score_i_z,human_score_j_z,abs_z_diff,difficulty,human_preference,preference_score_basis,image_i_path,image_j_path,source_i_text,source_j_text
full_rq0_seed42__rq0_0000__rq0_0025,rq0_0000,rq0_0025,Buse,Buse,Buse,Buse,-0.4688692505494623,0.7426090853383388,-0.4688692505494623,0.7426090853383388,1.2114783358878012,easy,rq0_0025,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0025.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","    /**
     * Compute the proper position for a centered window
     */
    private Point comuteDisplayPointCentre(Dimension dim) {
        Dimension screen = Toolkit.getDefaultToolkit().getScreenSize();
        int x = (screen.width - dim.width) / 2;
        int y = (screen.height - dim.height) / 2;
"
full_rq0_seed42__rq0_0000__rq0_0033,rq0_0000,rq0_0033,Buse,Buse,Buse,Buse,-0.4688692505494623,-2.0358901415347703,-0.4688692505494623,-2.0358901415347703,1.567020890985308,easy,rq0_0000,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0033.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","    /**
     * Creates a new <code>DisbandUnitAction</code>.
     * 
     * @param freeColClient The main controller object for the client.
     */
    DisbandUnitAction(FreeColClient freeColClient) {
        super(freeColClient, ""unit.state.8"", null, KeyStroke.getKeyStroke('D', 0));
        putValue(BUTTON_IMAGE, freeColClient.getImageLibrary().getUnitButtonImageIcon(ImageLibrary.UNIT_BUTTON_DISBAND,
                0));
        putValue(BUTTON_ROLLOVER_IMAGE, freeColClient.getImageLibrary().getUnitButtonImageIcon(
                ImageLibrary.UNIT_BUTTON_DISBAND, 1));
"
full_rq0_seed42__rq0_0000__rq0_0128,rq0_0000,rq0_0128,Buse,Dorn,Buse,Dorn,-0.4688692505494623,1.7884819403119565,-0.4688692505494623,1.7884819403119565,2.257351190861419,easy,rq0_0128,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0128.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","public abstract class AliasAction extends SquirrelAction
{
   /** Logger for this class. */
   private static ILogger s_log =
      LoggerController.createLogger(DeleteAliasAction.class);
   /** Internationalized strings for this class. */
   private static final StringManager s_stringMgr =
       StringManagerFactory.getStringManager(DeleteAliasAction.class);

   public AliasAction(IApplication app)
   {
      super(app);
   }

   protected void moveToFrontAndSelectAliasFrame()
   {
      IApplication app = getApplication();
      AliasesListInternalFrame tw = app.getWindowManager().getAliasesListInternalFrame();
      tw.moveToFront();
      try
      {
         tw.setSelected(true);
      }
      catch (PropertyVetoException ex)
      {
            //i18n[DeleteAliasAction.error.selectingwindow=Error selecting window]
         s_log.error(s_stringMgr.getString(""DeleteAliasAction.error.selectingwindow""), ex);
      }
   }
"
full_rq0_seed42__rq0_0000__rq0_0166,rq0_0000,rq0_0166,Buse,Dorn,Buse,Dorn,-0.4688692505494623,0.7720995508876254,-0.4688692505494623,0.7720995508876254,1.2409688014370877,easy,rq0_0166,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0166.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","		calendarImpl.setCalendarId(getCalendarId());
		calendarImpl.setGroupId(getGroupId());
		calendarImpl.setCompanyId(getCompanyId());
		calendarImpl.setUserId(getUserId());
		calendarImpl.setUserName(getUserName());
		calendarImpl.setCreateDate(getCreateDate());
		calendarImpl.setModifiedDate(getModifiedDate());
		calendarImpl.setResourceBlockId(getResourceBlockId());
		calendarImpl.setCalendarResourceId(getCalendarResourceId());
		calendarImpl.setName(getName());
		calendarImpl.setDescription(getDescription());
		calendarImpl.setColor(getColor());
		calendarImpl.setDefaultCalendar(getDefaultCalendar());

		calendarImpl.resetOriginalValues();

		return calendarImpl;
	}

	public int compareTo(Calendar calendar) {
		int value = 0;

		value = getName().compareTo(calendar.getName());

		if (value != 0) {
			return value;
		}

		return 0;
	}
"
full_rq0_seed42__rq0_0000__rq0_0207,rq0_0000,rq0_0207,Buse,Scalabrino,Buse,Scalabrino,-0.4688692505494623,0.5386660602292682,-0.4688692505494623,0.5386660602292682,1.0075353107787306,easy,rq0_0207,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0207.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","/**
	 * Constructs a SybaseASE157Dialect
	 */
	public SybaseASE157Dialect() {
		super();

		registerFunction( ""create_locator"", new SQLFunctionTemplate( StandardBasicTypes.BINARY, ""create_locator(?1, ?2)"" ) );
		registerFunction( ""locator_literal"", new SQLFunctionTemplate( StandardBasicTypes.BINARY, ""locator_literal(?1, ?2)"" ) );
		registerFunction( ""locator_valid"", new SQLFunctionTemplate( StandardBasicTypes.BOOLEAN, ""locator_valid(?1)"" ) );
		registerFunction( ""return_lob"", new SQLFunctionTemplate( StandardBasicTypes.BINARY, ""return_lob(?1, ?2)"" ) );
		registerFunction( ""setdata"", new SQLFunctionTemplate( StandardBasicTypes.BOOLEAN, ""setdata(?1, ?2, ?3)"" ) );
		registerFunction( ""charindex"", new SQLFunctionTemplate( StandardBasicTypes.INTEGER, ""charindex(?1, ?2, ?3)"" ) );
	}"
full_rq0_seed42__rq0_0000__rq0_0242,rq0_0000,rq0_0242,Buse,Scalabrino,Buse,Scalabrino,-0.4688692505494623,0.5386660602292682,-0.4688692505494623,0.5386660602292682,1.0075353107787306,easy,rq0_0242,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0242.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","public String toString() {
		return new StringBuilder()
				.append(""QueryStatistics"")
				.append(""[cacheHitCount="").append(this.cacheHitCount)
				.append("",cacheMissCount="").append(this.cacheMissCount)
				.append("",cachePutCount="").append(this.cachePutCount)
				.append("",executionCount="").append(this.executionCount)
				.append("",executionRowCount="").append(this.executionRowCount)
				.append("",executionAvgTime="").append(this.getExecutionAvgTime())
				.append("",executionMaxTime="").append(this.executionMaxTime)
				.append("",executionMinTime="").append(this.executionMinTime)
				.append(']')
				.toString();
	}"
full_rq0_seed42__rq0_0000__rq0_0279,rq0_0000,rq0_0279,Buse,Scalabrino,Buse,Scalabrino,-0.4688692505494623,0.7201731022630425,-0.4688692505494623,0.7201731022630425,1.189042352812505,easy,rq0_0279,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0000.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0279.png,"
			Object ret = body.eval(callstack, interpreter);

			boolean breakout = false;
			if(ret instanceof ReturnControl)
			{
				switch(((ReturnControl)ret).kind )
				{
					case RETURN:
						return ret;
","public CollectionListeners( SessionFactory sf) {
		preCollectionRecreateListener = new PreCollectionRecreateListener( this );
		initializeCollectionListener = new InitializeCollectionListener( this );
		preCollectionRemoveListener = new PreCollectionRemoveListener( this );
		preCollectionUpdateListener = new PreCollectionUpdateListener( this );
		postCollectionRecreateListener = new PostCollectionRecreateListener( this );
		postCollectionRemoveListener = new PostCollectionRemoveListener( this );
		postCollectionUpdateListener = new PostCollectionUpdateListener( this );

		EventListenerRegistry registry = ( (SessionFactoryImplementor) sf ).getServiceRegistry().getService( EventListenerRegistry.class );
		registry.setListeners( EventType.INIT_COLLECTION, initializeCollectionListener );

		registry.setListeners( EventType.PRE_COLLECTION_RECREATE, preCollectionRecreateListener );
		registry.setListeners( EventType.POST_COLLECTION_RECREATE, postCollectionRecreateListener );

		registry.setListeners( EventType.PRE_COLLECTION_REMOVE, preCollectionRemoveListener );
		registry.setListeners( EventType.POST_COLLECTION_REMOVE, postCollectionRemoveListener );

		registry.setListeners( EventType.PRE_COLLECTION_UPDATE, preCollectionUpdateListener );
		registry.setListeners( EventType.POST_COLLECTION_UPDATE, postCollectionUpdateListener );
	}"
full_rq0_seed42__rq0_0001__rq0_0127,rq0_0001,rq0_0127,Buse,Dorn,Buse,Dorn,0.7294408425569501,-1.0552721368539235,0.7294408425569501,-1.0552721368539235,1.7847129794108736,easy,rq0_0001,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0127.png,"
        if (actionList.size() == 1) {
            ActionMenu menu = actionList.get(0);

            if (menu.getSubItems().length == 0) {
                return null;
            }

            if (menu.getSubItems().length == 1) {
                Action action = menu.getSubItems()[0].getAction();

","	 */
	public UserFinder getUserFinder() {
		return userFinder;
	}

	/**
	 * Sets the user finder.
	 *
	 * @param userFinder the user finder
	 */
	public void setUserFinder(UserFinder userFinder) {
		this.userFinder = userFinder;
	}

	/**
	 * Returns the asset entry local service.
	 *
	 * @return the asset entry local service
	 */
	public AssetEntryLocalService getAssetEntryLocalService() {
		return assetEntryLocalService;
	}

	/**
	 * Sets the asset entry local service.
	 *
	 * @param assetEntryLocalService the asset entry local service
	 */
	public void setAssetEntryLocalService(
		AssetEntryLocalService assetEntryLocalService) {
		this.assetEntryLocalService = assetEntryLocalService;
	}

	/**
	 * Returns the asset entry remote service.
	 *
	 * @return the asset entry remote service
	 */
	public AssetEntryService getAssetEntryService() {
		return assetEntryService;
	}

	/**
	 * Sets the asset entry remote service.
	 *
	 * @param assetEntryService the asset entry remote service
	 */
	public void setAssetEntryService(AssetEntryService assetEntryService) {
		this.assetEntryService = assetEntryService;
	}
"
full_rq0_seed42__rq0_0001__rq0_0153,rq0_0001,rq0_0153,Buse,Dorn,Buse,Dorn,0.7294408425569501,-1.3132262341647327,0.7294408425569501,-1.3132262341647327,2.042667076721683,easy,rq0_0001,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0153.png,"
        if (actionList.size() == 1) {
            ActionMenu menu = actionList.get(0);

            if (menu.getSubItems().length == 0) {
                return null;
            }

            if (menu.getSubItems().length == 1) {
                Action action = menu.getSubItems()[0].getAction();

","	 */
	public void setGadgetKey(String gadgetKey);

	/**
	 * Returns the service name of this o auth token.
	 *
	 * @return the service name of this o auth token
	 */
	@AutoEscape
	public String getServiceName();
"
full_rq0_seed42__rq0_0001__rq0_0211,rq0_0001,rq0_0211,Buse,Scalabrino,Buse,Scalabrino,0.7294408425569501,-2.183939570277356,0.7294408425569501,-2.183939570277356,2.9133804128343064,easy,rq0_0001,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0211.png,"
        if (actionList.size() == 1) {
            ActionMenu menu = actionList.get(0);

            if (menu.getSubItems().length == 0) {
                return null;
            }

            if (menu.getSubItems().length == 1) {
                Action action = menu.getSubItems()[0].getAction();

","private static Ejb3DiscriminatorColumn processDiscriminatorProperties(XClass clazzToProcess, Mappings mappings, InheritanceState inheritanceState, EntityBinder entityBinder) {
		Ejb3DiscriminatorColumn discriminatorColumn = null;
		javax.persistence.DiscriminatorColumn discAnn = clazzToProcess.getAnnotation(
				javax.persistence.DiscriminatorColumn.class
		);
		DiscriminatorType discriminatorType = discAnn != null ?
				discAnn.discriminatorType() :
				DiscriminatorType.STRING;

		org.hibernate.annotations.DiscriminatorFormula discFormulaAnn = clazzToProcess.getAnnotation(
				org.hibernate.annotations.DiscriminatorFormula.class
		);
		if ( !inheritanceState.hasParents() ) {
			discriminatorColumn = Ejb3DiscriminatorColumn.buildDiscriminatorColumn(
					discriminatorType, discAnn, discFormulaAnn, mappings
			);
		}
		if ( discAnn != null && inheritanceState.hasParents() ) {
			LOG.invalidDiscriminatorAnnotation( clazzToProcess.getName() );
		}

		String discrimValue = clazzToProcess.isAnnotationPresent( DiscriminatorValue.class ) ?
				clazzToProcess.getAnnotation( DiscriminatorValue.class ).value() :
				null;
		entityBinder.setDiscriminatorValue( discrimValue );

		DiscriminatorOptions discriminatorOptions = clazzToProcess.getAnnotation( DiscriminatorOptions.class );
		if ( discriminatorOptions != null) {
			entityBinder.setForceDiscriminator( discriminatorOptions.force() );
			entityBinder.setInsertableDiscriminator( discriminatorOptions.insert() );
		}

		return discriminatorColumn;
	}"
full_rq0_seed42__rq0_0001__rq0_0276,rq0_0001,rq0_0276,Buse,Scalabrino,Buse,Scalabrino,0.7294408425569501,-1.2764043601084811,0.7294408425569501,-1.2764043601084811,2.005845202665431,easy,rq0_0001,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0276.png,"
        if (actionList.size() == 1) {
            ActionMenu menu = actionList.get(0);

            if (menu.getSubItems().length == 0) {
                return null;
            }

            if (menu.getSubItems().length == 1) {
                Action action = menu.getSubItems()[0].getAction();

","private Exception createTimeoutException(Thread thread) {
        StackTraceElement[] stackTrace = thread.getStackTrace();
        final Thread stuckThread = fLookForStuckThread ? getStuckThread(thread) : null;
        Exception currThreadException = new Exception(String.format(
                ""test timed out after %d %s"", fTimeout, fTimeUnit.name().toLowerCase()));
        if (stackTrace != null) {
            currThreadException.setStackTrace(stackTrace);
            thread.interrupt();
        }
        if (stuckThread != null) {
            Exception stuckThreadException = 
                new Exception (""Appears to be stuck in thread "" +
                               stuckThread.getName());
            stuckThreadException.setStackTrace(getStackTrace(stuckThread));
            return new MultipleFailureException    
                (Arrays.<Throwable>asList(currThreadException, stuckThreadException));
        } else {
            return currThreadException;
        }
    }"
full_rq0_seed42__rq0_0001__rq0_0311,rq0_0001,rq0_0311,Buse,Scalabrino,Buse,Scalabrino,0.7294408425569501,-1.094897318074706,0.7294408425569501,-1.094897318074706,1.824338160631656,easy,rq0_0001,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0001.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0311.png,"
        if (actionList.size() == 1) {
            ActionMenu menu = actionList.get(0);

            if (menu.getSubItems().length == 0) {
                return null;
            }

            if (menu.getSubItems().length == 1) {
                Action action = menu.getSubItems()[0].getAction();

","private void resolveEntityKey(
			ResultSet resultSet,
			ResultSetProcessingContextImpl context,
			FetchSource fetchSource,
			Map<EntityReference,EntityReferenceInitializer> initializerByEntityReference) throws SQLException {
		// Resolve any bidirectional entity references first.
		for ( BidirectionalEntityReference bidirectionalEntityReference : fetchSource.getBidirectionalEntityReferences() ) {
			final EntityReferenceInitializer targetEntityReferenceInitializer = initializerByEntityReference.get(
					bidirectionalEntityReference.getTargetEntityReference()
			);
			resolveEntityKey(
					resultSet,
					context,
					targetEntityReferenceInitializer,
					initializerByEntityReference
			);
			targetEntityReferenceInitializer.hydrateEntityState( resultSet, context );
		}
		for ( Fetch fetch : fetchSource.getFetches() ) {
			if ( EntityFetch.class.isInstance( fetch ) ) {
				final EntityFetch entityFetch = (EntityFetch) fetch;
				final EntityReferenceInitializer  entityReferenceInitializer = initializerByEntityReference.get( entityFetch );
				if ( entityReferenceInitializer != null ) {
					resolveEntityKey(
							resultSet,
							context,
							entityReferenceInitializer,
							initializerByEntityReference
					);
					entityReferenceInitializer.hydrateEntityState( resultSet, context );
				}
			}
			else if ( CompositeFetch.class.isInstance( fetch ) ) {
				resolveEntityKey(
						resultSet,
						context,
						(CompositeFetch) fetch,
						initializerByEntityReference );
			}
		}
	}"
full_rq0_seed42__rq0_0002__rq0_0082,rq0_0002,rq0_0082,Buse,Buse,Buse,Buse,-0.9429259906794712,1.045478669310289,-0.9429259906794712,1.045478669310289,1.98840465998976,easy,rq0_0082,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0002.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0082.png,"		private String compactString(String source) {
			String result= DELTA_START + source.substring(fPrefix, source.length() - fSuffix + 1) + DELTA_END;
			if (fPrefix > 0)
				result= computeCommonPrefix() + result;
			if (fSuffix > 0)
				result= result + computeCommonSuffix();
","        /* fredt - in FK constraints column lists for iColMain and iColRef have
           identical sets to visible columns of iMain and iRef respectively
           but the order of columns can be different and must be preserved
         */
        core.mainColArray = mainCols;
        core.colLen       = core.mainColArray.length;
        core.refColArray  = refCols;
"
full_rq0_seed42__rq0_0002__rq0_0107,rq0_0002,rq0_0107,Buse,Dorn,Buse,Dorn,-0.9429259906794712,0.2782772124968096,-0.9429259906794712,0.2782772124968096,1.2212032031762807,easy,rq0_0107,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0002.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0107.png,"		private String compactString(String source) {
			String result= DELTA_START + source.substring(fPrefix, source.length() - fSuffix + 1) + DELTA_END;
			if (fPrefix > 0)
				result= computeCommonPrefix() + result;
			if (fSuffix > 0)
				result= result + computeCommonSuffix();
","		float trialFitness = posFitnesses[solutionPosID];

		if(trialFitness BETTER_THAN fitnesses[solutionPosID])
		{
			posBetter = true;
			bias = 0.2f*bias + 0.4f*(dif+bias);
		}
		else
		{
			trialFitness = negFitnesses[solutionPosID];
			if(trialFitness BETTER_THAN fitnesses[solutionPosID])
			{
				negBetter = true;
				bias = bias - 0.4f*(dif+bias);
			}
		}

		if(posBetter || negBetter)
		{
			successes[solutionPosID]++;
			fails[solutionPosID] = 0;
			biases[solutionPosID] = bias;
			fitnesses[solutionPosID] = trialFitness;
			
		}
		else
		{
			successes[solutionPosID] = 0;
			fails[solutionPosID]++;
		}
"
full_rq0_seed42__rq0_0002__rq0_0134,rq0_0002,rq0_0134,Buse,Dorn,Buse,Dorn,-0.9429259906794712,0.0953443785442435,-0.9429259906794712,0.0953443785442435,1.0382703692237147,easy,rq0_0134,human_score_z_within_dataset,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0002.png,/ANON/experiment_root/experiments/rq0_viability/data/rendered/default/rq0_0134.png,"		private String compactString(String source) {
			String result= DELTA_START + source.substring(fPrefix, source.length() - fSuffix + 1) + DELTA_END;
			if (fPrefix > 0)
				result= computeCommonPrefix() + result;
			if (fSuffix > 0)
				result= result + computeCommonSuffix();
","				if (selenium.isVisible(
							""link=Web Content Display Permissions Page"")) {
					break;
				}
			}
			catch (Exception e) {
			}

			Thread.sleep(1000);
		}
"
