model_family,model,difficulty,pairs,correct_pairs,tie_pairs,pair_accuracy,spearman_continuous_all
canonical_binary_probability,Logistic Regression,easy,2000,1570,0,0.785,0.6580870213994954
canonical_binary_probability,Logistic Regression,hard,2000,1130,0,0.565,0.19267390805858567
canonical_binary_probability,Logistic Regression,medium,2000,1246,0,0.623,0.30771207735134837
canonical_binary_probability,Multilayer Perceptron,easy,2000,1552,0,0.776,0.6416957228180948
canonical_binary_probability,Multilayer Perceptron,hard,2000,1145,0,0.5725,0.17800037017009812
canonical_binary_probability,Multilayer Perceptron,medium,2000,1260,0,0.63,0.2979144055270101
canonical_binary_probability,Naive Bayes,easy,2000,1511,2,0.7555,0.5720941742323172
canonical_binary_probability,Naive Bayes,hard,2000,1144,0,0.572,0.1751015045031168
canonical_binary_probability,Naive Bayes,medium,2000,1216,0,0.608,0.24639963747029645
canonical_binary_probability,"Scalabrino-LR (replicated, not official tool)",easy,2000,1572,0,0.786,0.6607602643558999
canonical_binary_probability,"Scalabrino-LR (replicated, not official tool)",hard,2000,1132,0,0.566,0.1926177795437116
canonical_binary_probability,"Scalabrino-LR (replicated, not official tool)",medium,2000,1246,0,0.623,0.30961235810064713
canonical_binary_probability,Voting ensemble (LR+NB+RF),easy,2000,1613,0,0.8065,0.674300458183896
canonical_binary_probability,Voting ensemble (LR+NB+RF),hard,2000,1183,0,0.5915,0.2210526270789462
canonical_binary_probability,Voting ensemble (LR+NB+RF),medium,2000,1286,0,0.643,0.31606945404724907
regression,gradient_boosting_regressor,easy,2000,1593,0,0.7965,0.7022901085801612
regression,gradient_boosting_regressor,hard,2000,1177,0,0.5885,0.18652609267941456
regression,gradient_boosting_regressor,medium,2000,1306,0,0.653,0.35237860158747764
regression,linear_regression,easy,2000,1605,0,0.8025,0.7250723381003653
regression,linear_regression,hard,2000,1146,0,0.573,0.17591482961742988
regression,linear_regression,medium,2000,1298,0,0.649,0.35579515998517836
regression,random_forest_regressor,easy,2000,1615,0,0.8075,0.7276387397785369
regression,random_forest_regressor,hard,2000,1170,0,0.585,0.2139121451867185
regression,random_forest_regressor,medium,2000,1301,0,0.6505,0.3600655306072182
regression,svr,easy,2000,1595,0,0.7975,0.7174322908314829
regression,svr,hard,2000,1160,0,0.58,0.20934686772691996
regression,svr,medium,2000,1305,0,0.6525,0.3441400946728099
