ocr_engine,model,difficulty,pairs,valid_pairs,tie_pairs,pair_accuracy,spearman_continuous_all
easyocr,gradient_boosting_regressor,easy,2000,2000,0,0.587,0.21969623588711643
easyocr,gradient_boosting_regressor,hard,2000,1999,1,0.53,0.06893242992219191
easyocr,gradient_boosting_regressor,medium,2000,2000,0,0.5515,0.09695991679893809
easyocr,linear_regression,easy,2000,2000,0,0.579,0.1298958418249762
easyocr,linear_regression,hard,2000,2000,0,0.5255,0.0379754328134897
easyocr,linear_regression,medium,2000,2000,0,0.5515,0.11334609353168608
easyocr,random_forest_regressor,easy,2000,2000,0,0.5935,0.1816130497412484
easyocr,random_forest_regressor,hard,2000,2000,0,0.5115,0.05346936441938157
easyocr,random_forest_regressor,medium,2000,2000,0,0.5375,0.05581328816494148
easyocr,svr,easy,2000,2000,0,0.5275,0.10043674754041053
easyocr,svr,hard,2000,2000,0,0.5095,0.033086262517859566
easyocr,svr,medium,2000,2000,0,0.497,0.021095145292749428
easyocr_preprocessed,gradient_boosting_regressor,easy,2000,2000,0,0.6115,0.23145110516095455
easyocr_preprocessed,gradient_boosting_regressor,hard,2000,2000,0,0.5195,0.06659921964879321
easyocr_preprocessed,gradient_boosting_regressor,medium,2000,2000,0,0.5435,0.08872163856161054
easyocr_preprocessed,linear_regression,easy,2000,2000,0,0.546,0.07852985075151306
easyocr_preprocessed,linear_regression,hard,2000,2000,0,0.52,0.03408677403299512
easyocr_preprocessed,linear_regression,medium,2000,2000,0,0.5335,0.07243169728142848
easyocr_preprocessed,random_forest_regressor,easy,2000,2000,0,0.563,0.10662076242453647
easyocr_preprocessed,random_forest_regressor,hard,2000,2000,0,0.516,0.05267226645815061
easyocr_preprocessed,random_forest_regressor,medium,2000,2000,0,0.5215,0.027189692644091747
easyocr_preprocessed,svr,easy,2000,2000,0,0.525,0.08522452577058094
easyocr_preprocessed,svr,hard,2000,2000,0,0.5145,0.025298648204141776
easyocr_preprocessed,svr,medium,2000,2000,0,0.508,0.031094736670142068
rapidocr,gradient_boosting_regressor,easy,2000,2000,0,0.606,0.22242831927668336
rapidocr,gradient_boosting_regressor,hard,2000,2000,0,0.52,0.0621757769765809
rapidocr,gradient_boosting_regressor,medium,2000,2000,0,0.56,0.11046222202394886
rapidocr,linear_regression,easy,2000,2000,0,0.5805,0.17304816072797646
rapidocr,linear_regression,hard,2000,2000,0,0.521,0.040832971820737536
rapidocr,linear_regression,medium,2000,2000,0,0.543,0.11585446769076141
rapidocr,random_forest_regressor,easy,2000,2000,0,0.581,0.17347167383988982
rapidocr,random_forest_regressor,hard,2000,2000,0,0.521,0.06303914045537222
rapidocr,random_forest_regressor,medium,2000,2000,0,0.541,0.07988616149008895
rapidocr,svr,easy,2000,2000,0,0.5555,0.2126262141864771
rapidocr,svr,hard,2000,2000,0,0.5115,0.037490709935038134
rapidocr,svr,medium,2000,2000,0,0.521,0.0839432658060931
