ocr_engine,model,language,pairs,valid_pairs,tie_pairs,pair_accuracy,spearman_continuous_all
easyocr,gradient_boosting_regressor,cuda,3000,2999,1,0.5286666666666666,0.10211623175277211
easyocr,gradient_boosting_regressor,python,3000,3000,0,0.5836666666666667,0.21769290228340632
easyocr,linear_regression,cuda,3000,3000,0,0.6136666666666667,0.3294502877640228
easyocr,linear_regression,python,3000,3000,0,0.49033333333333334,-0.07155960057920101
easyocr,random_forest_regressor,cuda,3000,3000,0,0.5486666666666666,0.13203498202457228
easyocr,random_forest_regressor,python,3000,3000,0,0.5463333333333333,0.12731181992993928
easyocr,svr,cuda,3000,3000,0,0.539,0.08265797042030716
easyocr,svr,python,3000,3000,0,0.4836666666666667,-0.017562789661138896
easyocr_preprocessed,gradient_boosting_regressor,cuda,3000,3000,0,0.5423333333333333,0.13179662955200228
easyocr_preprocessed,gradient_boosting_regressor,python,3000,3000,0,0.574,0.18847469748491094
easyocr_preprocessed,linear_regression,cuda,3000,3000,0,0.5863333333333334,0.25490836852363186
easyocr_preprocessed,linear_regression,python,3000,3000,0,0.48,-0.08529445044807911
easyocr_preprocessed,random_forest_regressor,cuda,3000,3000,0,0.5286666666666666,0.0869912804871933
easyocr_preprocessed,random_forest_regressor,python,3000,3000,0,0.5383333333333333,0.08191100804244195
easyocr_preprocessed,svr,cuda,3000,3000,0,0.5263333333333333,0.05731569676325221
easyocr_preprocessed,svr,python,3000,3000,0,0.5053333333333333,0.025266606584740944
rapidocr,gradient_boosting_regressor,cuda,3000,3000,0,0.5286666666666666,0.10364809023047464
rapidocr,gradient_boosting_regressor,python,3000,3000,0,0.5953333333333334,0.23352851666414107
rapidocr,linear_regression,cuda,3000,3000,0,0.6073333333333333,0.3030661890951436
rapidocr,linear_regression,python,3000,3000,0,0.489,-0.05767627047029954
rapidocr,random_forest_regressor,cuda,3000,3000,0,0.535,0.11934198208235386
rapidocr,random_forest_regressor,python,3000,3000,0,0.5603333333333333,0.15290040410883732
rapidocr,svr,cuda,3000,3000,0,0.5656666666666667,0.1980223178110779
rapidocr,svr,python,3000,3000,0,0.493,0.005243501961970957
