ocr_engine,model,language,difficulty,pairs,valid_pairs,tie_pairs,pair_accuracy,spearman_continuous_all
easyocr,gradient_boosting_regressor,cuda,easy,1000,1000,0,0.557,0.19811699946615846
easyocr,gradient_boosting_regressor,cuda,hard,1000,999,1,0.512,0.04358892525039496
easyocr,gradient_boosting_regressor,cuda,medium,1000,1000,0,0.517,0.030317888227915184
easyocr,gradient_boosting_regressor,python,easy,1000,1000,0,0.617,0.26521230708141574
easyocr,gradient_boosting_regressor,python,hard,1000,1000,0,0.548,0.10373799071741434
easyocr,gradient_boosting_regressor,python,medium,1000,1000,0,0.586,0.16886973246887055
easyocr,linear_regression,cuda,easy,1000,1000,0,0.708,0.5104265766768146
easyocr,linear_regression,cuda,hard,1000,1000,0,0.547,0.0979630227224713
easyocr,linear_regression,cuda,medium,1000,1000,0,0.586,0.22560486446434175
easyocr,linear_regression,python,easy,1000,1000,0,0.45,-0.2320784469655081
easyocr,linear_regression,python,hard,1000,1000,0,0.504,-0.0012123672669237947
easyocr,linear_regression,python,medium,1000,1000,0,0.517,0.029834401176949254
easyocr,random_forest_regressor,cuda,easy,1000,1000,0,0.591,0.1998781866752632
easyocr,random_forest_regressor,cuda,hard,1000,1000,0,0.519,0.0429047018651263
easyocr,random_forest_regressor,cuda,medium,1000,1000,0,0.536,0.0770564254486417
easyocr,random_forest_regressor,python,easy,1000,1000,0,0.596,0.16936169860425218
easyocr,random_forest_regressor,python,hard,1000,1000,0,0.504,0.061547620317263275
easyocr,random_forest_regressor,python,medium,1000,1000,0,0.539,0.035085498664346126
easyocr,svr,cuda,easy,1000,1000,0,0.573,0.15321095488801784
easyocr,svr,cuda,hard,1000,1000,0,0.52,0.04002654078837211
easyocr,svr,cuda,medium,1000,1000,0,0.524,0.06659933239549434
easyocr,svr,python,easy,1000,1000,0,0.482,-0.009902104793294264
easyocr,svr,python,hard,1000,1000,0,0.499,0.012899263479730345
easyocr,svr,python,medium,1000,1000,0,0.47,-0.053656448070988266
easyocr_preprocessed,gradient_boosting_regressor,cuda,easy,1000,1000,0,0.593,0.23750101520103958
easyocr_preprocessed,gradient_boosting_regressor,cuda,hard,1000,1000,0,0.509,0.05209983769472651
easyocr_preprocessed,gradient_boosting_regressor,cuda,medium,1000,1000,0,0.525,0.057595086878006824
easyocr_preprocessed,gradient_boosting_regressor,python,easy,1000,1000,0,0.63,0.2451799412461369
easyocr_preprocessed,gradient_boosting_regressor,python,hard,1000,1000,0,0.53,0.0817307474086311
easyocr_preprocessed,gradient_boosting_regressor,python,medium,1000,1000,0,0.562,0.1204090198274258
easyocr_preprocessed,linear_regression,cuda,easy,1000,1000,0,0.647,0.41016187200575704
easyocr_preprocessed,linear_regression,cuda,hard,1000,1000,0,0.553,0.09534494992375149
easyocr_preprocessed,linear_regression,cuda,medium,1000,1000,0,0.559,0.15546974033151556
easyocr_preprocessed,linear_regression,python,easy,1000,1000,0,0.445,-0.2331798921660834
easyocr_preprocessed,linear_regression,python,hard,1000,1000,0,0.487,-0.004955477178473654
