ocr_engine,model,pairs,valid_pairs,tie_pairs,pair_accuracy,spearman_continuous_all
easyocr,gradient_boosting_regressor,6000,5999,1,0.5561666666666667,0.15619926187259428
easyocr,linear_regression,6000,6000,0,0.552,0.10291234636862719
easyocr,random_forest_regressor,6000,6000,0,0.5475,0.13051839841251286
easyocr,svr,6000,6000,0,0.5113333333333333,0.04737812779904623
easyocr_preprocessed,gradient_boosting_regressor,6000,6000,0,0.5581666666666667,0.15904724417830898
easyocr_preprocessed,linear_regression,6000,6000,0,0.5331666666666667,0.061795379422604144
easyocr_preprocessed,random_forest_regressor,6000,6000,0,0.5335,0.08496003413985213
easyocr_preprocessed,svr,6000,6000,0,0.5158333333333334,0.0464201351871993
rapidocr,gradient_boosting_regressor,6000,6000,0,0.562,0.17006619800627587
rapidocr,linear_regression,6000,6000,0,0.5481666666666667,0.12261722189956538
rapidocr,random_forest_regressor,6000,6000,0,0.5476666666666666,0.1373065085589979
rapidocr,svr,6000,6000,0,0.5293333333333333,0.12291719243627144
