snippet_id,dataset_name,ocr_engine,feature_loc_total,feature_loc_nonempty,feature_blank_line_ratio,feature_comment_line_ratio,feature_avg_line_length,feature_avg_nonempty_line_length,feature_max_line_length,feature_token_count,feature_avg_token_length,feature_token_entropy,feature_identifier_count,feature_identifier_unique_count,feature_avg_identifier_length,feature_keyword_count,feature_operator_count,feature_literal_count,feature_indent_mean,feature_indent_max,feature_indent_std,feature_nesting_mean,feature_nesting_max,feature_cyclomatic_estimate,feature_halstead_distinct_operators,feature_halstead_distinct_operands,feature_halstead_vocabulary,feature_halstead_length,feature_halstead_volume
dorn_cuda_000,Dorn,rapidocr,112.0,112.0,0.0,0.0,14.982142857142858,14.982142857142858,60.0,397.0,3.9093198992443323,6.325307151010371,150.0,69.0,7.706666666666667,27.0,162.0,58.0,0.008928571428571428,1.0,0.09406833707904232,0.0,0.0,5.0,16.0,127.0,143.0,370.0,2649.1523946080038
dorn_cuda_001,Dorn,rapidocr,25.0,25.0,0.0,0.32,18.76,18.76,59.0,214.0,2.1682242990654204,2.7745464772799,29.0,22.0,9.275862068965518,2.0,177.0,6.0,0.04,1.0,0.19595917942265428,0.0,0.0,1.0,11.0,28.0,39.0,212.0,1120.5052703987967
dorn_cuda_010,Dorn,rapidocr,126.0,126.0,0.0,0.047619047619047616,18.142857142857142,18.142857142857142,59.0,563.0,3.619893428063943,6.438512833222289,220.0,80.0,6.740909090909091,32.0,238.0,73.0,0.007936507936507936,1.0,0.08873285624999165,1.5555555555555556,3.0,6.0,20.0,148.0,168.0,531.0,3925.320551495522
dorn_cuda_100,Dorn,rapidocr,88.0,88.0,0.0,0.10227272727272728,16.545454545454547,16.545454545454547,59.0,526.0,2.593155893536122,5.798103453464706,153.0,52.0,5.934640522875817,9.0,272.0,92.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,108.0,125.0,517.0,3601.310475170299
dorn_cuda_101,Dorn,rapidocr,43.0,43.0,0.0,0.06976744186046512,17.209302325581394,17.209302325581394,59.0,223.0,2.883408071748879,6.267709788251126,88.0,66.0,5.181818181818182,11.0,93.0,31.0,0.0,0.0,0.0,0.813953488372093,1.0,2.0,19.0,90.0,109.0,212.0,1434.8550768527084
dorn_cuda_102,Dorn,rapidocr,78.0,78.0,0.0,0.01282051282051282,10.743589743589743,10.743589743589743,56.0,236.0,3.3177966101694913,5.757327294150805,65.0,34.0,6.953846153846154,19.0,101.0,51.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,82.0,94.0,217.0,1422.3457808140474
dorn_cuda_103,Dorn,rapidocr,16.0,16.0,0.0,0.0625,23.4375,23.4375,56.0,107.0,3.308411214953271,4.933512834451528,37.0,31.0,7.216216216216216,4.0,57.0,9.0,0.0625,1.0,0.24206145913796356,0.0,0.0,1.0,10.0,37.0,47.0,103.0,572.1226517227967
dorn_cuda_104,Dorn,rapidocr,47.0,47.0,0.0,0.10638297872340426,17.340425531914892,17.340425531914892,57.0,191.0,3.9842931937172774,5.883339399943171,75.0,44.0,7.226666666666667,14.0,81.0,21.0,0.0425531914893617,1.0,0.20184751022351363,0.8297872340425532,2.0,3.0,14.0,65.0,79.0,177.0,1115.7691924273472
dorn_cuda_105,Dorn,rapidocr,13.0,13.0,0.0,0.15384615384615385,17.384615384615383,17.384615384615383,55.0,57.0,3.8771929824561404,4.600176636857892,22.0,18.0,7.681818181818182,4.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,29.0,53.0,257.4729927417613
dorn_cuda_106,Dorn,rapidocr,99.0,99.0,0.0,0.0,15.525252525252526,15.525252525252526,60.0,391.0,3.498721227621483,7.082083299789857,197.0,122.0,5.213197969543147,19.0,112.0,63.0,0.0,0.0,0.0,0.9797979797979798,3.0,4.0,18.0,182.0,200.0,372.0,2843.5145025961974
dorn_cuda_107,Dorn,rapidocr,14.0,14.0,0.0,0.07142857142857142,16.357142857142858,16.357142857142858,42.0,44.0,5.136363636363637,4.150708688512891,16.0,12.0,6.75,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,16.0,23.0,44.0,199.03672606650858
