condition,condition_label,difficulty,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_calls,spearman_valid_only
easyocr,EasyOCR text,easy,2000,362,230,0.6353591160220995,0.115,0.819,0,0.28971688454424355
easyocr,EasyOCR text,hard,2000,400,195,0.4875,0.0975,0.8,0,0.010479464118836716
easyocr,EasyOCR text,medium,2000,393,220,0.5597964376590331,0.11,0.8035,0,0.13055397425361678
easyocr_preprocessed,EasyOCR preprocessed text,easy,2000,337,224,0.6646884272997032,0.112,0.8315,0,0.37735042735042734
easyocr_preprocessed,EasyOCR preprocessed text,hard,2000,350,168,0.48,0.084,0.825,0,0.01576640634335933
easyocr_preprocessed,EasyOCR preprocessed text,medium,2000,334,190,0.5688622754491018,0.095,0.833,0,0.1311225017217102
rapidocr,RapidOCR text,easy,2000,498,364,0.7309236947791165,0.182,0.751,0,0.482430284292038
rapidocr,RapidOCR text,hard,2000,531,268,0.504708097928437,0.134,0.7345,0,0.06110952783887761
rapidocr,RapidOCR text,medium,2000,518,311,0.6003861003861004,0.1555,0.741,0,0.19584871694016648
source,Source text,easy,2000,1045,662,0.6334928229665072,0.331,0.4775,0,0.30180192344960605
source,Source text,hard,2000,1028,543,0.5282101167315175,0.2715,0.486,0,0.09597395901206071
source,Source text,medium,2000,1013,573,0.5656465942744324,0.2865,0.4935,0,0.10015887645810678
