condition,condition_label,language,difficulty,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_calls,spearman_valid_only
easyocr,EasyOCR text,cuda,easy,1000,257,162,0.6303501945525292,0.162,0.743,0,0.306757484902413
easyocr,EasyOCR text,cuda,hard,1000,269,131,0.48698884758364314,0.131,0.731,0,0.022124737810792963
easyocr,EasyOCR text,cuda,medium,1000,270,159,0.5888888888888889,0.159,0.73,0,0.1861180785736608
easyocr,EasyOCR text,python,easy,1000,105,68,0.6476190476190476,0.068,0.895,0,0.2488906887125996
easyocr,EasyOCR text,python,hard,1000,131,64,0.48854961832061067,0.064,0.869,0,-0.008913532709681293
easyocr,EasyOCR text,python,medium,1000,123,61,0.4959349593495935,0.061,0.877,0,-0.04177713190515048
easyocr_preprocessed,EasyOCR preprocessed text,cuda,easy,1000,254,165,0.6496062992125984,0.165,0.746,0,0.3940922746021755
easyocr_preprocessed,EasyOCR preprocessed text,cuda,hard,1000,245,114,0.46530612244897956,0.114,0.755,0,-0.028405635516580523
easyocr_preprocessed,EasyOCR preprocessed text,cuda,medium,1000,234,134,0.5726495726495726,0.134,0.766,0,0.13157364304882202
easyocr_preprocessed,EasyOCR preprocessed text,python,easy,1000,83,59,0.7108433734939759,0.059,0.917,0,0.36017558804386324
easyocr_preprocessed,EasyOCR preprocessed text,python,hard,1000,105,54,0.5142857142857142,0.054,0.895,0,0.12012925879739428
easyocr_preprocessed,EasyOCR preprocessed text,python,medium,1000,100,56,0.56,0.056,0.9,0,0.130838883543773
rapidocr,RapidOCR text,cuda,easy,1000,349,245,0.7020057306590258,0.245,0.651,0,0.45180857508949973
rapidocr,RapidOCR text,cuda,hard,1000,371,182,0.49056603773584906,0.182,0.629,0,0.06447358759891542
rapidocr,RapidOCR text,cuda,medium,1000,355,220,0.6197183098591549,0.22,0.645,0,0.22714433461076453
rapidocr,RapidOCR text,python,easy,1000,149,119,0.7986577181208053,0.119,0.851,0,0.6045310742080773
rapidocr,RapidOCR text,python,hard,1000,160,86,0.5375,0.086,0.84,0,0.061690803852459904
rapidocr,RapidOCR text,python,medium,1000,163,91,0.558282208588957,0.091,0.837,0,0.10742035694611465
source,Source text,cuda,easy,1000,594,375,0.6313131313131313,0.375,0.406,0,0.31595867930289456
source,Source text,cuda,hard,1000,573,295,0.5148342059336823,0.295,0.427,0,0.10417590030855797
source,Source text,cuda,medium,1000,557,326,0.585278276481149,0.326,0.443,0,0.11362542926666998
source,Source text,python,easy,1000,451,287,0.6363636363636364,0.287,0.549,0,0.3022620310836755
source,Source text,python,hard,1000,455,248,0.545054945054945,0.248,0.545,0,0.08554328969497742
source,Source text,python,medium,1000,456,247,0.5416666666666666,0.247,0.544,0,0.08491661405192531
