p_threshold,abs_delta_threshold,language,difficulty,pairs,selected_pairs,selected_rate
0.01,0.147,cuda,easy,1000,1000,1.0
0.01,0.147,cuda,hard,1000,84,0.084
0.01,0.147,cuda,medium,1000,955,0.955
0.01,0.147,python,easy,1000,1000,1.0
0.01,0.147,python,hard,1000,163,0.163
0.01,0.147,python,medium,1000,972,0.972
0.01,0.33,cuda,easy,1000,922,0.922
0.01,0.33,cuda,hard,1000,0,0.0
0.01,0.33,cuda,medium,1000,18,0.018
0.01,0.33,python,easy,1000,901,0.901
0.01,0.33,python,hard,1000,0,0.0
0.01,0.33,python,medium,1000,20,0.02
0.01,0.474,cuda,easy,1000,552,0.552
0.01,0.474,cuda,hard,1000,0,0.0
0.01,0.474,cuda,medium,1000,0,0.0
0.01,0.474,python,easy,1000,359,0.359
0.01,0.474,python,hard,1000,0,0.0
0.01,0.474,python,medium,1000,0,0.0
0.05,0.147,cuda,easy,1000,1000,1.0
0.05,0.147,cuda,hard,1000,95,0.095
0.05,0.147,cuda,medium,1000,971,0.971
0.05,0.147,python,easy,1000,1000,1.0
0.05,0.147,python,hard,1000,184,0.184
0.05,0.147,python,medium,1000,984,0.984
0.05,0.33,cuda,easy,1000,922,0.922
0.05,0.33,cuda,hard,1000,0,0.0
0.05,0.33,cuda,medium,1000,18,0.018
0.05,0.33,python,easy,1000,901,0.901
0.05,0.33,python,hard,1000,0,0.0
0.05,0.33,python,medium,1000,20,0.02
0.05,0.474,cuda,easy,1000,552,0.552
0.05,0.474,cuda,hard,1000,0,0.0
0.05,0.474,cuda,medium,1000,0,0.0
0.05,0.474,python,easy,1000,359,0.359
0.05,0.474,python,hard,1000,0,0.0
0.05,0.474,python,medium,1000,0,0.0
0.1,0.147,cuda,easy,1000,1000,1.0
0.1,0.147,cuda,hard,1000,95,0.095
0.1,0.147,cuda,medium,1000,971,0.971
0.1,0.147,python,easy,1000,1000,1.0
0.1,0.147,python,hard,1000,184,0.184
0.1,0.147,python,medium,1000,984,0.984
0.1,0.33,cuda,easy,1000,922,0.922
0.1,0.33,cuda,hard,1000,0,0.0
0.1,0.33,cuda,medium,1000,18,0.018
0.1,0.33,python,easy,1000,901,0.901
0.1,0.33,python,hard,1000,0,0.0
0.1,0.33,python,medium,1000,20,0.02
0.1,0.474,cuda,easy,1000,552,0.552
0.1,0.474,cuda,hard,1000,0,0.0
0.1,0.474,cuda,medium,1000,0,0.0
0.1,0.474,python,easy,1000,359,0.359
0.1,0.474,python,hard,1000,0,0.0
0.1,0.474,python,medium,1000,0,0.0
