model,setting,language,difficulty,pairs,rf_correct_vlm_correct,rf_correct_vlm_wrong,rf_correct_vlm_invalid,rf_wrong_vlm_correct_rescue,rf_wrong_vlm_wrong,rf_wrong_vlm_invalid,rf_accuracy,vlm_effective_accuracy,rescue_rate_among_rf_wrong
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,easy,1000,261,124,501,30,12,72,0.886,0.291,0.2631578947368421
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,hard,1000,132,118,358,104,74,214,0.608,0.236,0.2653061224489796
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,medium,1000,173,123,412,77,48,167,0.708,0.25,0.2636986301369863
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,easy,1000,268,98,363,58,69,144,0.729,0.326,0.2140221402214022
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,hard,1000,160,106,296,96,103,239,0.562,0.256,0.2191780821917808
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,medium,1000,163,115,315,78,127,202,0.593,0.241,0.19164619164619165
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,easy,1000,385,204,297,72,20,22,0.886,0.457,0.631578947368421
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,hard,1000,192,214,202,187,101,104,0.608,0.379,0.4770408163265306
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,medium,1000,245,234,229,152,59,81,0.708,0.397,0.5205479452054794
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,easy,1000,353,206,170,136,61,74,0.729,0.489,0.5018450184501845
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,hard,1000,218,166,178,150,151,137,0.562,0.368,0.3424657534246575
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,medium,1000,253,168,172,156,131,120,0.593,0.409,0.3832923832923833
OpenGVLab/InternVL3-8B,image_only,cuda,easy,1000,117,110,659,38,8,68,0.886,0.155,0.3333333333333333
OpenGVLab/InternVL3-8B,image_only,cuda,hard,1000,31,86,491,95,19,278,0.608,0.126,0.2423469387755102
OpenGVLab/InternVL3-8B,image_only,cuda,medium,1000,50,95,563,73,13,206,0.708,0.123,0.25
OpenGVLab/InternVL3-8B,image_only,python,easy,1000,82,181,466,45,19,207,0.729,0.127,0.16605166051660517
OpenGVLab/InternVL3-8B,image_only,python,hard,1000,49,121,392,97,43,298,0.562,0.146,0.22146118721461186
OpenGVLab/InternVL3-8B,image_only,python,medium,1000,58,146,389,96,41,270,0.593,0.154,0.23587223587223588
OpenGVLab/InternVL3-8B,text_plus_image,cuda,easy,1000,286,122,478,69,11,34,0.886,0.355,0.6052631578947368
OpenGVLab/InternVL3-8B,text_plus_image,cuda,hard,1000,109,163,336,142,56,194,0.608,0.251,0.3622448979591837
OpenGVLab/InternVL3-8B,text_plus_image,cuda,medium,1000,164,161,383,135,28,129,0.708,0.299,0.4623287671232877
OpenGVLab/InternVL3-8B,text_plus_image,python,easy,1000,267,177,285,117,55,99,0.729,0.384,0.4317343173431734
OpenGVLab/InternVL3-8B,text_plus_image,python,hard,1000,168,142,252,141,121,176,0.562,0.309,0.3219178082191781
OpenGVLab/InternVL3-8B,text_plus_image,python,medium,1000,213,149,231,129,107,171,0.593,0.342,0.31695331695331697
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,easy,1000,436,76,374,60,19,35,0.886,0.496,0.5263157894736842
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,hard,1000,160,102,346,110,79,203,0.608,0.27,0.28061224489795916
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,medium,1000,197,104,407,114,41,137,0.708,0.311,0.3904109589041096
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,easy,1000,424,103,202,101,54,116,0.729,0.525,0.3726937269372694
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,hard,1000,205,116,241,116,119,203,0.562,0.321,0.2648401826484018
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,medium,1000,272,107,214,117,107,183,0.593,0.389,0.28746928746928746
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,easy,1000,533,172,181,77,24,13,0.886,0.61,0.6754385964912281
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,hard,1000,254,202,152,179,113,100,0.608,0.433,0.45663265306122447
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,medium,1000,316,190,202,167,67,58,0.708,0.483,0.571917808219178
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,easy,1000,416,146,167,143,57,71,0.729,0.559,0.5276752767527675
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,hard,1000,234,154,174,163,137,138,0.562,0.397,0.3721461187214612
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,medium,1000,289,165,139,166,131,110,0.593,0.455,0.40786240786240785
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,easy,1000,583,106,197,61,23,30,0.886,0.644,0.5350877192982456
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,hard,1000,254,130,224,133,130,129,0.608,0.387,0.3392857142857143
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,medium,1000,341,145,222,127,65,100,0.708,0.468,0.4349315068493151
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,easy,1000,350,65,314,99,33,139,0.729,0.449,0.36531365313653136
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,hard,1000,176,85,301,106,75,257,0.562,0.282,0.2420091324200913
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,medium,1000,216,91,286,111,66,230,0.593,0.327,0.2727272727272727
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,easy,1000,539,195,152,70,22,22,0.886,0.609,0.6140350877192983
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,hard,1000,242,192,174,175,113,104,0.608,0.417,0.44642857142857145
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,medium,1000,318,214,176,159,69,64,0.708,0.477,0.5445205479452054
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,easy,1000,400,181,148,146,59,66,0.729,0.546,0.5387453874538746
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,hard,1000,239,188,135,170,125,143,0.562,0.409,0.3881278538812785
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,medium,1000,273,193,127,171,120,116,0.593,0.444,0.4201474201474201
