model,setting,scope,language,difficulty,pairs,rf_accuracy,vlm_effective_accuracy,delta_vlm_minus_rf,delta_ci_low,delta_ci_high,mcnemar_rf_only_correct,mcnemar_vlm_only_correct,mcnemar_p,mcnemar_fdr_p
OpenGVLab/InternVL3-8B,combined_labeled_image_only,overall,all,all,6000,0.681,0.26666666666666666,-0.41433333333333333,-0.43,-0.3988333333333333,2929,443,0.0,0.0
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language,cuda,all,3000,0.734,0.259,-0.475,-0.49633333333333335,-0.4523333333333333,1636,211,6.5271426718383415e-273,1.0443428274941346e-271
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language,python,all,3000,0.628,0.2743333333333333,-0.3536666666666667,-0.37633333333333335,-0.33166666666666667,1293,232,1.466355785877534e-178,1.0055011103160234e-177
OpenGVLab/InternVL3-8B,combined_labeled_image_only,difficulty,all,easy,2000,0.8075,0.3085,-0.499,-0.525,-0.4735,1086,88,2.1791764500139215e-219,2.32445488001485e-218
OpenGVLab/InternVL3-8B,combined_labeled_image_only,difficulty,all,hard,2000,0.585,0.246,-0.339,-0.368,-0.31,878,200,9.251086422575617e-102,3.0624286088526185e-101
OpenGVLab/InternVL3-8B,combined_labeled_image_only,difficulty,all,medium,2000,0.6505,0.2455,-0.405,-0.4325,-0.3765,965,155,2.065563872362058e-143,9.91470658733788e-143
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,cuda,easy,1000,0.886,0.291,-0.595,-0.627,-0.562,625,30,8.286989604850398e-146,4.1871105371875695e-145
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,cuda,hard,1000,0.608,0.236,-0.372,-0.413,-0.33097500000000013,476,104,8.333992359227456e-58,1.4815986416404368e-57
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,cuda,medium,1000,0.708,0.25,-0.458,-0.495,-0.4189750000000001,535,77,2.438040319680159e-85,6.883878549685154e-85
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,python,easy,1000,0.729,0.326,-0.403,-0.442,-0.3669750000000001,461,58,6.248212311696765e-79,1.5784957419023406e-78
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,python,hard,1000,0.562,0.256,-0.306,-0.345,-0.269,402,96,1.5307419034465695e-45,2.409036438210995e-45
OpenGVLab/InternVL3-8B,combined_labeled_image_only,language_difficulty,python,medium,1000,0.593,0.241,-0.352,-0.39,-0.314,430,78,5.737356995105506e-60,1.0799730814316247e-59
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,overall,all,all,6000,0.681,0.4165,-0.2645,-0.2816666666666667,-0.24766666666666667,2440,853,3.127041594486106e-175,1.8762249566916637e-174
