model,setting,language,difficulty,pairs,mean_abs_z_gap,strict_swap_errors,strict_swap_error,strict_swap_error_ci_low,strict_swap_error_ci_high,effective_accuracy
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,easy,1000,1.88847211857825,573,0.573,0.5421204037602065,0.6033208895009023,0.291
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,hard,1000,0.35021524408893046,572,0.572,0.5411151999524977,0.6023337468255823,0.236
OpenGVLab/InternVL3-8B,combined_labeled_image_only,cuda,medium,1000,0.7468452307654676,579,0.579,0.5481543035657991,0.6092410685934831,0.25
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,easy,1000,1.5345851295999107,507,0.507,0.47604583278568624,0.537900592595516,0.326
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,hard,1000,0.34873264432354484,535,0.535,0.5040112456567101,0.5657208812493011,0.256
OpenGVLab/InternVL3-8B,combined_labeled_image_only,python,medium,1000,0.738601338903105,517,0.517,0.48602235996108767,0.5478475302504034,0.241
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,easy,1000,1.88847211857825,319,0.319,0.29085168384683435,0.3485336027249366,0.457
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,hard,1000,0.35021524408893046,306,0.306,0.2782254333203639,0.3352593489720314,0.379
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,cuda,medium,1000,0.7468452307654676,310,0.31,0.28210764506522773,0.3393465231592832,0.397
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,easy,1000,1.5345851295999107,244,0.244,0.2183928321652609,0.2715664681793434,0.489
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,hard,1000,0.34873264432354484,315,0.315,0.28696390735652827,0.3444519932831271,0.368
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,python,medium,1000,0.738601338903105,292,0.292,0.2646576946068598,0.3209342369231311,0.409
OpenGVLab/InternVL3-8B,image_only,cuda,easy,1000,1.88847211857825,727,0.727,0.6985586005647291,0.7537040510828288,0.155
OpenGVLab/InternVL3-8B,image_only,cuda,hard,1000,0.35021524408893046,769,0.769,0.7418776678486424,0.7940635360861289,0.126
OpenGVLab/InternVL3-8B,image_only,cuda,medium,1000,0.7468452307654676,769,0.769,0.7418776678486424,0.7940635360861289,0.123
OpenGVLab/InternVL3-8B,image_only,python,easy,1000,1.5345851295999107,673,0.673,0.6433104519531344,0.7013654896108635,0.127
OpenGVLab/InternVL3-8B,image_only,python,hard,1000,0.34873264432354484,690,0.69,0.6606534768407168,0.7178923549347722,0.146
OpenGVLab/InternVL3-8B,image_only,python,medium,1000,0.738601338903105,659,0.659,0.6290604090928602,0.6877226817087334,0.154
OpenGVLab/InternVL3-8B,text_plus_image,cuda,easy,1000,1.88847211857825,512,0.512,0.4810325544060909,0.5428756033902558,0.355
OpenGVLab/InternVL3-8B,text_plus_image,cuda,hard,1000,0.35021524408893046,530,0.53,0.49901030909301675,0.56076008539785,0.251
OpenGVLab/InternVL3-8B,text_plus_image,cuda,medium,1000,0.7468452307654676,512,0.512,0.4810325544060909,0.5428756033902558,0.299
OpenGVLab/InternVL3-8B,text_plus_image,python,easy,1000,1.5345851295999107,384,0.384,0.35435414144032196,0.4145336665283268,0.384
OpenGVLab/InternVL3-8B,text_plus_image,python,hard,1000,0.34873264432354484,428,0.428,0.3976662531744177,0.4588848000475022,0.309
OpenGVLab/InternVL3-8B,text_plus_image,python,medium,1000,0.738601338903105,402,0.402,0.3720422335603109,0.4327078111028579,0.342
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,easy,1000,1.88847211857825,409,0.409,0.37893242495569907,0.4397640450886719,0.496
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,hard,1000,0.35021524408893046,549,0.549,0.5180304041955376,0.5795945734728781,0.27
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,cuda,medium,1000,0.7468452307654676,544,0.544,0.5130207581807846,0.5746424870724867,0.311
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,easy,1000,1.5345851295999107,318,0.318,0.2898795107350345,0.34751342935370755,0.525
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,hard,1000,0.34873264432354484,444,0.444,0.4134777594602898,0.4749508374900924,0.321
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,python,medium,1000,0.738601338903105,397,0.397,0.36712458560070244,0.42766372664732194,0.389
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,easy,1000,1.88847211857825,194,0.194,0.17068142956732762,0.21966054662583218,0.61
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,hard,1000,0.35021524408893046,252,0.252,0.22607471123809428,0.279823360970741,0.433
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,cuda,medium,1000,0.7468452307654676,260,0.26,0.23376861850763092,0.2880682255654355,0.483
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,easy,1000,1.5345851295999107,238,0.238,0.21263955247557198,0.2653656689708589,0.559
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,python,hard,1000,0.34873264432354484,312,0.312,0.2840496860924683,0.3413891750981004,0.397
