,,char_error_rate,char_error_rate,char_error_rate,char_error_rate,token_f1,token_f1,token_f1,token_f1,line_count_abs_diff,line_count_abs_diff,line_count_abs_diff,line_count_abs_diff,indent_mean_abs_delta,indent_mean_abs_delta,indent_mean_abs_delta,indent_mean_abs_delta,runtime_sec,runtime_sec,runtime_sec,runtime_sec,mean_confidence,mean_confidence,mean_confidence,mean_confidence
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
ocr_engine,dataset_name,,,,,,,,,,,,,,,,,,,,,,,,
easyocr,Buse,0.33735084406878413,0.3218390804597701,0.10248043614221408,99,0.7896336442304178,0.8088235294117647,0.10796236972060634,99,14.696969696969697,14.0,9.24436347347315,99,9.044229816199513,8.4,3.503773112115424,99,0.5815186380135893,0.5337607860565186,0.296691723014481,99,0.8801540339909052,0.8872773343935124,0.044137007204729184,99
easyocr,Dorn,0.2699191366912112,0.2650022909943246,0.08820772538551469,90,0.7141993430296307,0.752610134963076,0.1190136604567234,90,40.25555555555555,28.5,38.86813232407813,90,7.552314658909645,6.916943521594684,4.27665911263487,90,2.5026931762695312,2.482688784599304,1.8811694156120142,90,0.9047577689238794,0.9058675744485432,0.03180814522781032,90
easyocr,Scalabrino,0.33199117371819603,0.30566008891533214,0.11637551998436549,124,0.6850136402811091,0.7220095693779904,0.11956332933650357,124,62.42741935483871,54.5,38.78692541991474,124,10.370254114164037,10.0,3.451142994650089,124,2.691383311825414,2.50991690158844,1.3523288340921726,124,0.8936481443360286,0.898565694085006,0.029871966664569663,124
easyocr_preprocessed,Buse,0.38889092296017147,0.38461538461538464,0.10424578655173904,99,0.8464878340527303,0.8627450980392156,0.10487216614853533,99,18.848484848484848,16.0,11.774551974979888,99,9.044229816199513,8.4,3.503773112115424,99,0.5356105963389078,0.4883725643157959,0.2491575129680501,99,0.8506432039669967,0.8568648536328656,0.04091813079783494,99
easyocr_preprocessed,Dorn,0.3092189696418757,0.30649527669866095,0.09272625550815174,90,0.7688033378341078,0.802293361631883,0.11395251916730155,90,58.388888888888886,45.0,52.94850040728985,90,7.552314658909645,6.916943521594684,4.27665911263487,90,1.986972861819797,1.7724571228027344,1.5126115481005227,90,0.8815080040420077,0.9014924872673854,0.04670693569736299,90
easyocr_preprocessed,Scalabrino,0.3668359570387065,0.3468296538874146,0.10420206866997311,124,0.7262869561459963,0.7657255787690571,0.13281271035589975,124,81.7741935483871,70.0,47.02893741760389,124,10.370273208837817,10.0,3.451072076196163,124,2.4665729884178407,2.1538748741149902,1.4703394311496187,124,0.900914301042482,0.9071012364470274,0.026426658444503995,124
rapidocr,Buse,0.29277255325032714,0.28061224489795916,0.10553808148322,99,0.8370784596676212,0.8571428571428571,0.09421148067085701,99,8.202020202020202,8.0,4.637865004019207,99,9.039054014106716,8.4,3.502945112482135,99,0.9038578235741818,0.9034836292266846,0.1798849529902723,99,0.8009677126854845,0.7980633491329361,0.02930463003623981,99
rapidocr,Dorn,0.19383149387770687,0.16097925063442303,0.09812604236676303,90,0.802175978576454,0.826376811594203,0.11081002431912855,90,16.466666666666665,12.0,15.30014320267859,90,7.546764479681671,6.916943521594684,4.276893219009324,90,0.9281065040164523,0.9422729015350342,0.2662705564300525,90,0.7726429723664945,0.7649613389167008,0.03259521558793284,90
rapidocr,Scalabrino,0.2259136135920634,0.1808341052540876,0.1180642281746906,124,0.7988169667414025,0.8259537927948087,0.10653050466135124,124,24.75,22.0,15.093004355919497,124,10.361570707335398,10.0,3.450927931452016,124,1.0127670803377706,1.009536862373352,0.18732831145311513,124,0.7736745332287974,0.7725158999683979,0.020794175152991982,124
