rq0_id,snippet_id,dataset_name,raw_code,human_mean_score,human_score_z_within_dataset,human_score_minmax_within_dataset,binary_label_median,binary_label_tertile_strict,tertiary_label,num_annotators,language,LOC,cyclomatic_complexity,min_score,max_score,code_type,exact_code_hash,formatting_normalized_hash,exact_duplicate_group_id,formatting_duplicate_group_id,duplicate_group_id,source_metadata,source_key,source_path,source_row_index
rq0_0000,1,Buse,"Object
ret = body.eval(callstack, interpreter);
boolean
breakout
 = false;
if(ret
lnstanceof
Returncontrol)
switch(（(ReturnControl)ret).kind
case
RETURN:
return
ret:",2.9917355371900825,-0.4688692505494623,0.4605263157894735,unreadable,discard,mid,,java,8,1,1.0,5.0,Code,1e506b49375e82c2396c0548ac8cefbae24181d640935517daac351f0440a388,82cde93e7c11adebdcfd7f47bfebe2a84d5fde769570ca905cc2d38c4534a4c8,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 0, ""original_snippet_id"": ""1""}",,,0
rq0_0001,2,Buse,"if
(actionList.size
ActionMenu
menu
actionList.get(o);
if
(menu.getSubItems().length == 0)
return null;
(menu.getSubItems().length == 1) {
if
Action
menu.getSubItems
action
O[o1.getAct
10
ion;",3.743801652892562,0.7294408425569501,0.7598684210526316,readable,readable,high,,java,7,1,1.0,5.0,Code,a7168b6e2c4c47e3ebcb777c683618ee6782039ff6a255b97cf7f139717439ad,a73b1ccfa8a0a0cf99bba31518a7179342d24ea788cba14ff2fbc41239e4e267,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 1, ""original_snippet_id"": ""2""}",,,1
rq0_0002,3,Buse,"private
String
g(string
compactstring
source)
String
result=
DELTA START
source.substring(fp
refix,
source.length)
fSuffix
+1+
DELTA EN
D;
if
(fPrefix
result=
computeCommonPrefix()
result;
if
(fsuffix
0)
result=
result
computeCommonSuffix();",2.6942148760330578,-0.9429259906794712,0.3421052631578946,unreadable,unreadable,low,,java,6,1,1.0,5.0,Code,813130b91d9c5a31ac7ea7aed296e7c67e93acad042daeb5444d41bb4baf704e,6e3f02166ee705b174ad4601a1c3102b5316ad65d919aaf2f15423191c8b9d09,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 2, ""original_snippet_id"": ""3""}",,,2
rq0_0003,4,Buse,"**/
* Constructor, with a argument reference to the PUBLIC
User Object which
* is null if this is the SYs or PUBLIC user.
The dependency upon a GranteeManager is undesirable.
Hopefully we
* can get rid of this dependency with an Ioc or Listene
r re-design.
*/
10
11
Grantee(String name, Grantee
einGrantee,
12
GranteeManager man)
throws HsqlException {
13
14
rightsMap
new
IntValueHashMap();
15
granteeName
name;
16
granteeManager
man;}",4.033057851239669,1.1903293399055694,0.8749999999999999,readable,readable,high,,java,5,1,1.0,5.0,Code,b4b7fc5cd3dbd13416d7d8578f9b1531d894e343132cc0694fdeea8879536975,54d88a7ce3bca1a4b994b389da4a34760686088ec308eebacaabe8334f1cb723,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 3, ""original_snippet_id"": ""4""}",,,3
rq0_0004,5,Buse,"/**
Quits
the application without
any questions.
public
void
quitO t
getConnectController().quitGame(true) ;
if 
( !windowed) {
gd.setFuliScreenwindow(null);
System.exit(0);}",4.190082644628099,1.4405259527519627,0.9374999999999998,readable,readable,high,,java,6,2,2.0,5.0,Code,05e77263230d1f98c02ce3b368094afa3704883ca5d55bff5720767f551afc84,cf5ad9f5f15e60b061567fdaf2e4c92c16ac2e4e8efaca8a07eb1e957fab5397,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 4, ""original_snippet_id"": ""5""}",,,4
rq0_0005,6,Buse,"jj_s
xsp
scanpos;
if 
(jj_
scan
_token(100)){
jj_s
scanpos
xsp;
if
f（jj_scan
token(1o1l))
return
true;",2.190082644628099,-1.7461888003442083,0.1414473684210526,unreadable,unreadable,low,,java,4,1,1.0,5.0,Code,fb5047192497b14bb46afab3c1d21d7591e51ce49a6254317cbcbc4cc8ffaab2,f422917e8e44c8114d5f549be01df8d1a12927d6bbe419eab8272ea5272d9663,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 5, ""original_snippet_id"": ""6""}",,,5
rq0_0006,7,Buse,"/**
Attention: Do
NOT
USE
THIS!
Under Os/2 it has
problems with calculating the
some
re
al
Date!
@deprecated
*/
public Date(int
daysSince1970)
10
long l = (long)
daysSince1970
24*
60
60
1000;
11
java.util.Date
java.util.Date(l);
= new
12
Calendar cal = Calendar.getInstance();}",3.628099173553719,0.545085443617502,0.7138157894736842,readable,discard,mid,,java,4,1,1.0,5.0,Code,436d5b78b4d5d807d4a2314a1a4d8ea54698c2213eadc42e5e23d3f0fbfd1c03,e22b430682bdf127a954e6f2030a7d7f850e82b5f2ed61b0c4cd939dcabeb010,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 6, ""original_snippet_id"": ""7""}",,,6
rq0_0007,8,Buse,"public
TestMethodRunner(Object
test, Method
method,F
RunN
otifier
notifier,
Description
description){
super(test.getclass
Before.class,
After.class,:
test):
fTest=
test;
FMethod=
method;",2.8595041322314048,-0.6795611350516886,0.4078947368421051,unreadable,unreadable,low,,java,4,1,1.0,5.0,Code,4e67183c67f98fbe104e89208409b8f663a5fb966b298a4c1165e1cfb3b62f6d,5ff7e663c59ab17a1c7de6572b0c10f09c74c1bcaf06a6e3204fe49c1938c19a,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 7, ""original_snippet_id"": ""8""}",,,7
rq0_0008,9,Buse,"/**
* Returns a vector containing the URI
(type + path)
for
alt
the databases.
*/
public
Vector
getDatabaseURIs() {
static
Vector
VectorO;
new
Iterator
it = databaseIDMap.values().iterator();
10
while (it.hasNext(O) (
11
Database
db =
(Database)
it.nextO;",4.132231404958677,1.3483482532822386,0.914473684210526,readable,readable,high,,java,5,1,2.0,5.0,Code,9be0a4d9c7f2ea6f05f77830b1c4b532eacab50dfb6afa889538b2240d4ad496,0b248475c7c07396848ed88e59bc7c552c0ebfb8c8917278ace7ddd359503b5b,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 8, ""original_snippet_id"": ""9""}",,,8
rq0_0009,10,Buse,"private
void
moveUnit(KeyEvent
if (!parent.isMapboardActionsEnabled()) {
return;
switch
(e.getKeyCodeO) t
KeyEvent.VKESCAPE:
case
// main
menu
break;
10
case
KeyEvent.VK NUMPADl:
11
KeyEvent.VKEND:
case
12
inGameController.moveActiveUnit(Map.Sw);",3.347107438016529,0.0973651890502713,0.6019736842105263,unreadable,discard,mid,,java,10,1,1.0,5.0,Code,d69070d2ec8de4f0a7d9e396ad793c2d4ee1c4eae94a408fbc194714b4748016,e5d28e81804ea9b533870e1c3b8c0d327fbbe764d23bb108fe5dab7509cca325,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 9, ""original_snippet_id"": ""10""}",,,9
rq0_0010,11,Buse,"if
clas
nuil
throw
new
ClassNotFoundException(
class:
value+
not
found
in
namespace"");
asclass
clas;
return
asclass;",3.644628099173554,0.5714219291802802,0.7203947368421052,readable,discard,mid,,java,5,1,1.0,5.0,Code,6b3d93fd2013ca1f0c27d60b552da9e7a93522877624a085699d816a8f6cde86,fd25de2c0a2922862da11dcfa1f063863146f84328625f0675e0fed428fa1f8f,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 10, ""original_snippet_id"": ""11""}",,,10
rq0_0011,12,Buse,"btPanel.add(cancel);
getRootPane().setDefaultButton(ok);
panel.add(btPanel,
BorderLayout.SoUTH);",3.5371900826446283,0.4002347730222216,0.6776315789473685,readable,discard,mid,,java,3,1,1.0,5.0,Code,75a54cf06f0f4eb69d8822c9183e36cc089c62f49778280ebcf8998b5ccefb9a,2718f680703449361f8bb42bd77901ed2f9ab1794849254a475e056e427ffdec,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 11, ""original_snippet_id"": ""12""}",,,11
rq0_0012,14,Buse,"Object
removeName(String
throws
HsqlException
name
Object
nameList.remove(name);
owner
if
nul)
(owner
//should contain name
throw
Trace.error(Trace.GENERAL_ERROR);
10
11
return
owner;",4.049586776859504,1.2166658254683484,0.8815789473684211,readable,readable,high,,java,6,1,2.0,5.0,Code,067d0f6455aaa054fd34ab08e7d536723a6b426011e12a3082413b3c32bb166b,f0cde504cc848a51ab46886aa24058fdd13e537a53b2ad8e9f0553a8597412b1,,,,"{""source_key"": NaN, ""source_path"": NaN, ""source_row_index"": 12, ""original_snippet_id"": ""14""}",,,12
