condition,scope,scope_value,n_pairs,n_valid,n_correct,effective_accuracy_E,E_ci95_low,E_ci95_high,valid_accuracy_V,V_ci95_low,V_ci95_high,debiased_accuracy_D,n_D_defined,strict_swap_error_S,n_parse_failure_pairs,parse_failure_rate,n_order_disagreement_pairs,order_disagreement_rate
text_only_source,overall,all,9000,6943,4030,0.4477777777777778,0.43752861797911163,0.45807150008604847,0.5804407316721878,0.5687913543604433,0.5920011416135544,0.5734495246717972,8836,0.2285555555555555,0,0.0,2057,0.22855555555555557
text_only_source,language,cuda,3000,2391,1448,0.4826666666666667,0.46481874268356466,0.500558925699482,0.6056043496445002,0.5858602763736612,0.6250096199902568,0.5951897018970189,2952,0.20299999999999996,0,0.0,609,0.203
text_only_source,language,java,3000,2346,1281,0.427,0.409403888018396,0.44478283074866554,0.5460358056265985,0.5258297382874386,0.5660913512021679,0.5379918588873813,2948,0.21799999999999997,0,0.0,654,0.218
text_only_source,language,python,3000,2206,1301,0.43366666666666664,0.41602852544490204,0.45147447471329544,0.5897552130553038,0.5690901343163054,0.610108229946545,0.5871934604904632,2936,0.2646666666666667,0,0.0,794,0.26466666666666666
text_only_source,difficulty,easy,3000,2361,1475,0.49166666666666664,0.4737989791964091,0.509555669064671,0.6247352816603134,0.6050164502621899,0.6440488571139998,0.6120718887758563,2949,0.21299999999999997,0,0.0,639,0.213
text_only_source,difficulty,hard,3000,2279,1241,0.4136666666666667,0.39616447088628587,0.43138968509850384,0.5445370776656429,0.5240324602125167,0.5648917997974638,0.5447126827609656,2941,0.2403333333333333,0,0.0,721,0.24033333333333334
text_only_source,difficulty,medium,3000,2303,1314,0.438,0.42033628929336125,0.4558222937690746,0.5705601389491967,0.5502423996188046,0.5906428696601956,0.5634758995247794,2946,0.23233333333333328,0,0.0,697,0.23233333333333334
text_only_ocr,overall,all,9000,4595,2516,0.27955555555555556,0.2703792036298401,0.2889200181601123,0.5475516866158868,0.5331262796778422,0.561897649826492,0.5426605504587156,8720,0.48944444444444446,0,0.0,4405,0.48944444444444446
text_only_ocr,language,cuda,3000,1645,896,0.2986666666666667,0.2825549715242606,0.31529333046343416,0.5446808510638298,0.5205386750474287,0.5686148252038993,0.5430034129692832,2930,0.45166666666666666,0,0.0,1355,0.45166666666666666
text_only_ocr,language,java,3000,1768,939,0.313,0.29665423841295857,0.3298240685656785,0.5311085972850679,0.5078045135139452,0.5542777854906611,0.517157712305026,2885,0.4106666666666666,0,0.0,1232,0.4106666666666667
text_only_ocr,language,python,3000,1182,681,0.227,0.21236478004164727,0.24233349699133616,0.5761421319796954,0.5477677554658803,0.6040231751272107,0.5676419965576592,2905,0.606,0,0.0,1818,0.606
text_only_ocr,difficulty,easy,3000,1541,908,0.30266666666666664,0.28648775911873847,0.31935031170363776,0.5892277741726152,0.5644715707064745,0.6135402073295391,0.565008576329331,2915,0.4863333333333333,0,0.0,1459,0.48633333333333334
text_only_ocr,difficulty,hard,3000,1507,763,0.25433333333333336,0.23907065518115586,0.2702243755554849,0.5063039150630392,0.4810773445310288,0.53149842780672,0.5160732803318354,2893,0.4976666666666667,0,0.0,1493,0.49766666666666665
text_only_ocr,difficulty,medium,3000,1547,845,0.2816666666666667,0.2658574604361857,0.29803432400411245,0.5462184873949579,0.5213250102765877,0.5708829882707815,0.5467032967032966,2912,0.4843333333333333,0,0.0,1453,0.48433333333333334
image_only_baseline_carried,overall,all,9000,5438,3717,0.413,0.40286669425165617,0.42320754499306795,0.6835233541743287,0.671035618573623,0.6957519777430355,,0,0.3957777777777778,0,0.0,3562,0.3957777777777778
image_only_baseline_carried,language,cuda,3000,2098,1499,0.49966666666666665,0.4817862715555832,0.5175479143748601,0.7144899904671115,0.6947847572202981,0.7334111639185735,,0,0.30066666666666664,0,0.0,902,0.3006666666666667
image_only_baseline_carried,language,java,3000,1867,1160,0.38666666666666666,0.3693955747599745,0.40422764159071467,0.6213176218532405,0.5990868802301323,0.643050134469562,,0,0.3776666666666667,0,0.0,1133,0.37766666666666665
image_only_baseline_carried,language,python,3000,1473,1058,0.3526666666666667,0.33576713318725526,0.36994304806864065,0.7182620502376104,0.6947441167222577,0.7406444855489677,,0,0.509,0,0.0,1527,0.509
image_only_baseline_carried,difficulty,easy,3000,1962,1538,0.5126666666666667,0.4947753732822318,0.5305255613609265,0.7838939857288482,0.7651360926895303,0.8015423212783093,,0,0.346,0,0.0,1038,0.346
image_only_baseline_carried,difficulty,hard,3000,1699,1003,0.3343333333333333,0.3176730685407954,0.35141733888947657,0.5903472630959388,0.5667848199283397,0.6135020605425155,,0,0.43366666666666664,0,0.0,1301,0.43366666666666664
image_only_baseline_carried,difficulty,medium,3000,1777,1176,0.392,0.3746788551543629,0.40959738630923503,0.6617895329206528,0.6394643704485448,0.6834166763553934,,0,0.4076666666666666,0,0.0,1223,0.4076666666666667
